fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,13234.0,1,0,0,40.0
2023-01-02,100,12430.8,0,0,0,40.0
2023-01-03,100,12382.4,0,0,0,40.0
2023-01-04,100,12294.8,0,0,0,40.0
2023-01-05,100,13121.7,0,0,1,40.0
2023-01-06,100,13222.3,0,0,0,40.0
2023-01-07,100,13728.4,0,0,0,40.0
2023-01-08,100,11445.3,0,0,0,60.0
2023-01-09,100,10637.5,0,0,0,40.0
2023-01-10,100,9744.2,0,0,0,40.0
2023-01-11,100,10181.4,0,0,0,40.0
2023-01-12,100,10803.8,0,0,1,40.0
2023-01-13,100,11698.6,0,0,1,40.0
2023-01-14,100,10928.4,0,0,0,40.0
2023-01-15,100,9951.2,0,0,0,40.0
2023-01-16,100,10669.4,0,0,1,40.0
2023-01-17,100,11712.5,0,0,0,40.0
2023-01-18,100,11807.3,0,0,0,40.0
2023-01-19,100,11718.6,0,0,0,40.0
2023-01-20,89.8,11723.8,1,1,0,40.0
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,0,-9,0,0,0,-9
2023-01-27,0,-9,0,0,0,-9
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,0,-9,0,0,0,-9
2023-01-31,0,-9,0,0,0,-9
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,0,0,0,-9
2023-02-08,0,-9,0,0,0,-9
2023-02-09,0,-9,0,0,0,-9
2023-02-10,0,-9,0,0,0,-9
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,0,-9,0,0,0,-9
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0,-9,0,0,0,-9
2023-02-17,38.2,-163986.3,6,0,1,90.0
2023-02-18,100,-160158.9,0,1,0,30.0
2023-02-19,100,-160555.7,0,1,0,30.0
2023-02-20,100,-162937.4,0,1,0,30.0
2023-02-21,100,-163793.4,0,0,0,30.0
2023-02-22,100,-162922.4,0,0,0,30.0
2023-02-23,100,-162566.4,0,0,0,30.0
2023-02-24,100,-165864.2,0,0,0,30.0
2023-02-25,100,-164731.3,0,1,0,30.0
2023-02-26,100,-163353.4,0,1,0,30.0
2023-02-27,100,-171710.5,0,0,0,30.0
2023-02-28,100,-163418.4,0,0,0,30.0
2023-03-01,100,-157117.6,0,1,0,30.0
2023-03-02,100,-167439.0,0,1,0,30.0
2023-03-03,100,-177356.4,0,0,0,30.0
2023-03-04,100,-173108.5,0,0,0,30.0
2023-03-05,100,-176879.6,0,0,0,30.0
2023-03-06,100,-162047.7,0,0,0,30.0
2023-03-07,100,-160585.2,0,0,0,30.0
2023-03-08,100,-151884.9,0,0,0,30.0
2023-03-09,100,-145672.1,0,0,0,30.0
