fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-144.7,1,0,0,20.0
2023-01-02,100,-142.7,0,0,0,20.0
2023-01-03,100,-174.1,0,0,0,15.0
2023-01-04,100,-154.1,0,0,0,25.0
2023-01-05,100,-126.8,0,0,0,20.0
2023-01-06,100,-131.0,0,0,1,25.0
2023-01-07,100,-156.5,0,0,1,20.0
2023-01-08,100,-39.6,0,0,1,30.0
2023-01-09,100,-75.6,0,0,2,30.0
2023-01-10,100,-110.4,0,0,0,35.0
2023-01-11,100,-142.8,0,0,0,35.0
2023-01-12,100,-112.4,0,0,0,25.0
2023-01-13,100,-104.0,0,0,0,20.0
2023-01-14,100,-127.9,0,0,0,35.0
2023-01-15,100,-130.2,0,0,0,30.0
2023-01-16,100,-98.8,0,0,0,35.0
2023-01-17,100,-126.2,0,0,0,30.0
2023-01-18,100,-137.8,0,0,0,40.0
2023-01-19,100,-167.1,0,0,0,25.0
2023-01-20,100,-162.9,0,1,9,35.0
2023-01-21,100,-28.1,0,0,0,40.0
2023-01-22,100,-76.4,0,0,1,20.0
2023-01-23,100,-130.5,0,0,0,15.0
2023-01-24,100,-176.1,0,0,1,15.0
2023-01-25,100,-193.8,0,2,0,35.0
2023-01-26,100,-173.1,0,0,0,40.0
2023-01-27,100,-172.3,0,1,1,30.0
2023-01-28,100,-185.5,0,0,0,40.0
2023-01-29,100,-181.1,0,0,0,45.0
2023-01-30,100,-173.1,0,1,0,35.0
2023-01-31,100,-67.3,0,0,0,20.0
2023-02-01,100,-113.5,0,0,0,35.0
2023-02-02,100,-159.8,0,0,0,15.0
2023-02-03,100,-89.8,0,0,0,15.0
2023-02-04,100,-99.6,0,0,0,20.0
2023-02-05,100,-139.9,0,0,0,15.0
2023-02-06,100,-108.8,0,0,7,25.0
2023-02-07,100,-155.8,0,1,0,35.0
2023-02-08,100,-161.3,0,0,1,40.0
2023-02-09,100,-173.2,0,0,0,20.0
2023-02-10,100,-171.8,0,0,0,15.0
2023-02-11,100,-160.1,0,0,0,15.0
2023-02-12,100,-110.0,0,0,0,20.0
2023-02-13,100,-104.7,0,0,0,15.0
2023-02-14,100,-99.0,0,1,0,20.0
2023-02-15,100,-114.3,0,2,0,20.0
2023-02-16,100,-144.5,0,1,0,15.0
2023-02-17,100,-152.2,0,0,0,30.0
2023-02-18,100,-154.7,0,1,1,25.0
2023-02-19,100,-116.6,0,1,2,20.0
2023-02-20,100,-138.8,0,1,0,35.0
2023-02-21,33.4,-137.0,1,0,0,0.0
2023-02-22,0,-9,0,0,0,-9
2023-02-23,0,-9,0,0,0,-9
2023-02-24,0,-9,0,0,0,-9
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
2023-02-27,0,-9,0,0,0,-9
2023-02-28,0,-9,0,0,0,-9
2023-03-01,0,-9,0,0,0,-9
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,0,-9,0,0,0,-9
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,0,-9,0,0,0,-9
2023-03-21,0,-9,0,0,0,-9
2023-03-22,0,-9,0,0,0,-9
2023-03-23,0,-9,0,0,0,-9
2023-03-24,0,-9,0,0,0,-9
