fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,97.4,-6547.4,26,0,5,0.0
2023-01-02,100.0,-6559.6,1,0,9,0.0
2023-01-03,100,-6550.3,0,0,8,0.0
2023-01-04,99.2,-6556.4,1,0,19,0.0
2023-01-05,100,-6554.4,0,0,15,0.0
2023-01-06,98.9,-6549.5,19,0,4,0.0
2023-01-07,100,-6537.2,0,0,6,0.0
2023-01-08,99.6,-6553.1,10,0,5,0.0
2023-01-09,96.8,-6564.1,17,0,5,0.0
2023-01-10,100,-6573.7,0,0,4,0.0
2023-01-11,99.4,-6565.3,9,0,2,0.0
2023-01-12,100.0,-6563.7,2,0,2,0.0
2023-01-13,99.9,-6559.9,3,0,0,0.0
2023-01-14,100.0,-6565.2,1,0,4,0.0
2023-01-15,99.9,-6561.2,3,0,4,0.0
2023-01-16,99.1,-6568.6,27,0,4,0.0
2023-01-17,99.2,-6570.3,2,0,0,0.0
2023-01-18,100.0,-6578.9,2,1,5,0.0
2023-01-19,0,-9,9,9,9,-9
2023-01-20,100.0,-6553.3,4,0,5,0.0
2023-01-21,100.0,-6557.6,1,0,0,0.0
2023-01-22,100,-6579.6,0,0,2,0.0
2023-01-23,100.0,-6577.9,3,0,0,0.0
2023-01-24,100.0,-6577.2,1,0,2,0.0
2023-01-25,99.9,-6583.2,7,0,2,0.0
2023-01-26,97.5,-6575.4,15,0,1,0.0
2023-01-27,99.8,-6574.7,9,0,1,0.0
2023-01-28,100.0,-6571.2,1,0,2,0.0
2023-01-29,100,-6577.3,0,1,1,0.0
2023-01-30,100.0,-6571.6,2,0,0,0.0
2023-01-31,100.0,-6579.1,2,0,0,0.0
2023-02-01,100.0,-6578.4,1,0,0,0.0
2023-02-02,100,-6577.2,0,0,1,0.0
2023-02-03,100.0,-6588.6,1,0,0,0.0
2023-02-04,100.0,-6587.2,3,0,1,0.0
2023-02-05,100.0,-6575.5,2,0,1,0.0
2023-02-06,100,-6572.1,0,0,5,10.0
2023-02-07,99.8,-6579.1,5,2,1,0.0
2023-02-08,100.0,-6581.8,1,0,1,0.0
2023-02-09,100.0,-6589.6,1,0,0,0.0
2023-02-10,100,-6584.9,0,0,1,0.0
2023-02-11,100,-6587.6,0,0,2,0.0
2023-02-12,100,-6589.4,0,0,0,0.0
2023-02-13,100.0,-6590.5,4,7,0,0.0
2023-02-14,100.0,-6593.7,1,0,0,0.0
2023-02-15,99.9,-6603.3,7,0,2,0.0
2023-02-16,99.9,-6585.1,3,0,4,0.0
2023-02-17,100,-6590.9,0,0,2,0.0
2023-02-18,99.8,-6599.6,4,1,2,0.0
2023-02-19,100.0,-6601.4,3,0,4,0.0
2023-02-20,100.0,-6601.8,3,0,4,0.0
2023-02-21,100.0,-6595.4,3,0,1,0.0
