fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-3536.3,1,0,0,35.0
2023-01-02,100,-3697.9,0,0,0,35.0
2023-01-03,100,-3743.0,0,0,0,35.0
2023-01-04,100,-3530.0,0,0,0,35.0
2023-01-05,100,-3462.8,0,0,0,35.0
2023-01-06,100,-3402.7,0,0,0,35.0
2023-01-07,100,-3588.8,0,0,0,35.0
2023-01-08,100,-3244.7,0,0,1,35.0
2023-01-09,100,-3294.5,0,0,1,35.0
2023-01-10,100,-3548.5,0,0,0,35.0
2023-01-11,100,-3478.2,0,0,0,35.0
2023-01-12,100,-3343.3,0,0,0,35.0
2023-01-13,100,-3466.5,0,0,0,35.0
2023-01-14,100,-3606.5,0,0,0,35.0
2023-01-15,100,-3757.1,0,0,0,35.0
2023-01-16,100,-3639.8,0,0,1,35.0
2023-01-17,100,-3597.5,0,0,0,35.0
2023-01-18,100,-3418.0,0,0,0,35.0
2023-01-19,100,-3611.4,0,0,0,35.0
2023-01-20,100,-3486.7,0,1,0,35.0
2023-01-21,100,-3263.5,0,0,0,35.0
2023-01-22,100,-3103.7,0,0,0,35.0
2023-01-23,100,-3088.1,0,0,0,35.0
2023-01-24,100,-3162.0,0,0,0,35.0
2023-01-25,100,-3014.6,0,2,1,35.0
2023-01-26,100,-2889.7,0,0,1,40.0
2023-01-27,100,-2541.3,0,1,0,35.0
2023-01-28,100,-2684.0,0,0,0,35.0
2023-01-29,100,-2758.9,0,0,0,40.0
2023-01-30,100,-2567.7,0,1,0,40.0
2023-01-31,100,-2594.8,0,0,0,35.0
2023-02-01,100,-2839.3,0,0,0,40.0
2023-02-02,100,-2814.9,0,0,0,40.0
2023-02-03,100,-2585.9,0,0,0,40.0
2023-02-04,100,-2537.7,0,0,0,40.0
2023-02-05,100,-2596.6,0,0,0,35.0
2023-02-06,100,-2838.4,0,0,0,40.0
2023-02-07,100,-2823.9,0,1,0,35.0
2023-02-08,100,-2790.7,0,0,0,35.0
2023-02-09,100,-2918.0,0,0,0,40.0
2023-02-10,100,-2990.2,0,0,2,40.0
2023-02-11,100,-3054.6,0,0,0,40.0
2023-02-12,100,-3118.8,0,0,0,35.0
2023-02-13,100,-3178.6,0,0,0,35.0
2023-02-14,100,-3303.7,0,1,0,35.0
2023-02-15,100,-3427.7,0,2,0,35.0
2023-02-16,100,-3532.3,0,1,0,35.0
2023-02-17,100,-3476.8,0,0,2,35.0
2023-02-18,100,-3547.6,0,1,0,35.0
2023-02-19,100,-3320.4,0,1,0,35.0
