fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,97.3,-10678.0,19,0,0,0.0
2023-01-02,100.0,-10716.6,1,0,2,0.0
2023-01-03,100,-10744.0,0,0,1,0.0
2023-01-04,99.2,-10752.6,1,0,0,0.0
2023-01-05,100.0,-10718.2,1,0,1,0.0
2023-01-06,98.9,-10687.7,19,0,2,0.0
2023-01-07,100,-10584.5,0,0,2,0.0
2023-01-08,99.6,-10709.4,11,0,2,0.0
2023-01-09,96.8,-10752.7,16,0,2,0.0
2023-01-10,99.9,-10763.0,2,0,1,0.0
2023-01-11,99.5,-10712.0,13,0,1,0.0
2023-01-12,100.0,-10776.8,2,0,0,0.0
2023-01-13,99.9,-10704.3,5,0,3,0.0
2023-01-14,100,-10718.2,0,0,2,0.0
2023-01-15,100.0,-10718.5,3,1,3,0.0
2023-01-16,99.1,-10711.9,28,0,3,0.0
2023-01-17,99.2,-10756.8,2,0,1,0.0
2023-01-18,99.9,-10761.0,4,0,3,0.0
2023-01-19,0,-9,9,9,9,-9
2023-01-20,100.0,-10759.6,1,0,7,0.0
2023-01-21,100.0,-10724.1,2,0,1,0.0
2023-01-22,100.0,-10717.9,2,0,3,0.0
2023-01-23,100.0,-10751.0,2,0,2,0.0
2023-01-24,100.0,-10717.7,2,0,1,0.0
2023-01-25,99.9,-10681.3,8,0,1,0.0
2023-01-26,97.5,-10699.8,14,1,1,0.0
2023-01-27,99.9,-10710.4,8,0,1,0.0
2023-01-28,100.0,-10720.2,2,0,0,0.0
2023-01-29,100,-10722.6,0,0,1,0.0
2023-01-30,100.0,-10735.7,2,0,0,0.0
2023-01-31,100.0,-10744.0,2,0,1,0.0
2023-02-01,100.0,-10748.0,1,0,5,0.0
2023-02-02,100.0,-10747.2,1,0,3,0.0
2023-02-03,100,-10743.1,0,0,0,0.0
2023-02-04,100.0,-10747.1,4,0,0,0.0
2023-02-05,100.0,-10729.6,3,0,0,0.0
2023-02-06,100.0,-10715.8,1,0,8,25.0
2023-02-07,99.8,-10704.7,5,0,2,0.0
2023-02-08,100.0,-10709.1,2,0,1,0.0
2023-02-09,100.0,-10707.4,2,0,0,0.0
2023-02-10,100.0,-10730.1,2,0,2,0.0
