fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-05,0,-9,0,0,0,-9
2023-09-06,0,-9,0,0,0,-9
2023-09-07,0,-9,0,0,0,-9
2023-09-08,0,-9,0,0,0,-9
2023-09-09,0,-9,0,0,0,-9
2023-09-10,0,-9,0,0,0,-9
2023-09-11,0,-9,0,0,0,-9
2023-09-12,0,-9,0,0,0,-9
2023-09-13,0,-9,0,0,0,-9
2023-09-14,0,-9,0,0,0,-9
2023-09-15,0,-9,0,0,0,-9
2023-09-16,0,-9,0,0,0,-9
2023-09-17,0,-9,0,0,0,-9
2023-09-18,0,-9,0,0,0,-9
2023-09-19,0,-9,0,0,0,-9
2023-09-20,0,-9,0,0,0,-9
2023-09-21,0,-9,0,0,0,-9
2023-09-22,0,-9,0,0,0,-9
2023-09-23,0,-9,0,0,0,-9
2023-09-24,0,-9,0,0,0,-9
2023-09-25,0,-9,0,0,0,-9
2023-09-26,0,-9,0,0,0,-9
2023-09-27,0,-9,0,0,0,-9
2023-09-28,0,-9,0,0,0,-9
2023-09-29,0,-9,0,0,0,-9
2023-09-30,0,-9,0,0,0,-9
2023-10-01,0,-9,0,0,0,-9
2023-10-02,0,-9,0,0,0,-9
2023-10-03,0,-9,0,0,0,-9
2023-10-04,0,-9,0,0,0,-9
2023-10-05,0,-9,0,0,0,-9
2023-10-06,0,-9,0,0,0,-9
2023-10-07,0,-9,0,0,0,-9
2023-10-08,0,-9,0,0,0,-9
2023-10-09,0,-9,0,0,0,-9
2023-10-10,0,-9,0,0,0,-9
2023-10-11,0,-9,0,0,0,-9
2023-10-12,0,-9,0,0,0,-9
2023-10-13,0,-9,0,0,0,-9
2023-10-14,0,-9,0,0,0,-9
2023-10-15,0,-9,0,0,0,-9
2023-10-16,0,-9,0,0,0,-9
2023-10-17,0,-9,0,0,0,-9
2023-10-18,0,-9,0,0,0,-9
2023-10-19,0,-9,0,0,0,-9
2023-10-20,0,-9,0,0,0,-9
2023-10-21,0,-9,0,0,0,-9
2023-10-22,31.1,-499.3,1,0,0,0.0
2023-10-22,31.1,-499.3,1,0,0,0.0
2023-10-23,100,4857.6,0,0,0,0.0
2023-10-24,100,-629.6,0,0,0,0.0
2023-10-25,100.0,-4014.9,2,0,0,0.0
2023-10-26,100.0,-3502.5,1,0,0,0.0
2023-10-27,100,-2831.1,0,0,0,0.0
2023-10-28,100,794.4,0,1,0,0.0
2023-10-29,100,-3060.1,0,0,0,0.0
2023-10-30,100.0,430.5,1,1,0,0.0
2023-10-31,100,1284.6,0,0,0,0.0
2023-11-01,100,-2999.1,0,0,0,0.0
2023-11-02,100.0,-830.6,1,0,0,0.0
2023-11-03,100,-1751.3,0,0,0,0.0
2023-11-04,100,29.7,0,1,0,0.0
2023-11-05,100.0,1052.2,2,0,0,0.0
2023-11-06,100,-1537.1,0,0,0,0.0
2023-11-07,100.0,-2821.7,2,0,0,0.0
2023-11-08,100,1125.8,0,0,0,0.0
2023-11-09,100.0,1737.1,5,1,0,0.0
2023-11-10,100.0,-7876.3,4,0,0,0.0
2023-11-11,100,2668.8,0,0,0,0.0
2023-11-12,100.0,-3098.6,1,1,0,0.0
2023-11-13,100,-509.2,0,0,0,0.0
