fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-4845.1,1,0,0,40.0
2023-01-02,93.3,-4694.3,31,0,0,40.0
2023-01-03,0,-9,9,9,9,-9
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0,-9,9,9,9,-9
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,0,-9,9,9,9,-9
2023-01-15,0,-9,9,9,9,-9
2023-01-16,0,-9,9,9,9,-9
2023-01-17,0,-9,9,9,9,-9
2023-01-18,0.7,-6466.0,57,0,0,10.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,5.4,-3360.8,99,0,0,50.0
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,19.7,-1549.1,100,0,0,45.0
2023-01-26,0,-9,0,0,0,-9
2023-01-27,27.2,-4332.6,80,0,0,45.0
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0.7,-6595.6,19,0,0,45.0
2023-01-30,3.0,-4122.8,2,0,0,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,1.0,-4188.5,2,0,0,-9
2023-02-15,2.6,-4477.3,3,0,0,15.0
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0.1,-5842.6,6,0,0,-9
2023-02-18,0.8,-4647.6,2,0,0,-9
2023-02-19,16.5,-5351.5,51,0,0,40.0
2023-02-20,4.8,-7258.9,52,0,0,50.0
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,0,-9,9,9,9,-9
2023-02-24,0,-9,9,9,9,-9
2023-02-25,5.4,-8522.3,1,0,0,40.0
2023-02-26,21.8,-7279.1,44,0,0,10.0
2023-02-27,0,-9,9,9,9,-9
2023-02-28,95.2,-6054.2,1,0,0,40.0
2023-03-01,92.0,-6124.9,3,0,0,40.0
2023-03-02,100.0,-5503.6,1,0,0,40.0
2023-03-03,100,-4340.4,0,0,0,40.0
2023-03-04,100,-3890.4,0,0,0,40.0
2023-03-05,83.2,-3732.8,56,0,0,40.0
2023-03-06,100,-4972.5,0,0,0,40.0
2023-03-07,100,-5695.1,0,0,0,40.0
2023-03-08,86.3,-4339.6,27,1,0,40.0
2023-03-09,100,-3631.4,0,0,0,40.0
2023-03-10,100,-3026.0,0,0,1,40.0
2023-03-11,100,-3500.5,0,0,0,40.0
2023-03-12,100,-2718.6,0,0,0,40.0
2023-03-13,100,-3092.1,0,0,0,40.0
2023-03-14,100,-3474.9,0,0,0,40.0
2023-03-15,100,-4251.5,0,0,0,40.0
2023-03-16,100,-3906.3,0,0,0,40.0
2023-03-17,100,-4279.1,0,0,0,40.0
2023-03-18,100,-4688.9,0,0,0,40.0
2023-03-19,100,-5111.9,0,0,0,40.0
2023-03-20,100,-5178.2,0,0,0,40.0
2023-03-21,99.6,-5280.4,43,0,0,40.0
2023-03-22,0,-9,9,9,9,-9
2023-03-23,100,-5142.4,0,0,0,40.0
2023-03-24,98.7,-5168.5,70,0,0,40.0
2023-03-25,0,-9,9,9,9,-9
2023-03-26,0,-9,9,9,9,-9
2023-03-27,100.0,-3632.0,1,0,0,40.0
2023-03-28,100.0,-4892.5,1,0,0,40.0
2023-03-29,100.0,-4885.7,1,0,0,40.0
2023-03-30,100.0,-4007.0,2,0,0,40.0
2023-03-31,100,-4635.4,0,0,0,40.0
2023-04-01,100,-4171.9,0,0,0,40.0
2023-04-02,0,-9,9,9,9,-9
2023-04-03,0,-9,9,9,9,-9
2023-04-04,100,-4434.9,0,0,0,40.0
2023-04-05,94.1,-5087.0,27,0,0,40.0
2023-04-06,99.5,-4698.3,3,1,0,40.0
2023-04-07,100,-4635.7,0,0,0,40.0
2023-04-08,100,-4058.5,0,0,0,40.0
2023-04-09,78.5,-4093.7,46,0,0,40.0
2023-04-10,71.2,-3917.9,43,0,0,40.0
2023-04-11,100,-4251.7,0,0,0,40.0
2023-04-12,100,-4399.3,0,0,0,40.0
2023-04-13,100,-4452.0,0,0,0,40.0
2023-04-14,100,-5085.9,0,0,0,40.0
2023-04-15,100,-5194.2,0,0,0,40.0
2023-04-16,100,-5200.6,0,0,0,40.0
2023-04-17,72.8,-4592.2,79,0,0,40.0
2023-04-18,91.8,-4576.1,26,0,0,40.0
2023-04-19,100.0,-5146.7,3,0,0,40.0
2023-04-20,100,-5854.2,0,0,0,40.0
2023-04-21,100,-5173.5,0,0,0,40.0
2023-04-22,100,-4392.7,0,0,0,40.0
2023-04-23,100,-5284.6,0,0,0,40.0
2023-04-24,100,-5085.1,0,0,0,40.0
2023-04-25,98.9,-4514.0,16,0,0,40.0
2023-04-26,100.0,-4244.9,1,0,0,40.0
2023-04-27,100.0,-4591.9,2,0,0,40.0
2023-04-28,0,-9,9,9,9,-9
2023-04-29,100,-4118.0,0,0,0,40.0
2023-04-30,100,-3953.3,0,0,0,40.0
2023-05-01,100,-3433.6,0,0,0,40.0
2023-05-02,100,-3707.6,0,0,0,40.0
2023-05-03,100,-3195.0,0,0,0,40.0
2023-05-04,100,-3787.4,0,0,0,40.0
2023-05-05,100,-3415.1,0,0,0,40.0
2023-05-06,100,-3357.5,0,0,0,40.0
2023-05-07,100,-4151.9,0,0,0,40.0
2023-05-08,100,-4674.9,0,0,0,40.0
2023-05-09,100,-3279.5,0,0,0,40.0
2023-05-10,100,-3896.2,0,0,0,40.0
2023-05-11,95.5,-4978.8,60,0,0,40.0
2023-05-12,100,-5975.8,0,0,0,40.0
2023-05-13,93.7,-5580.6,77,0,0,40.0
2023-05-14,100,-5205.2,0,0,0,40.0
2023-05-15,100,-4607.6,0,0,0,40.0
2023-05-16,100,-5092.8,0,0,0,40.0
2023-05-17,100,-5436.7,0,0,0,40.0
2023-05-18,100,-6323.1,0,0,0,40.0
2023-05-19,100,-6821.9,0,0,0,40.0
2023-05-20,100,-5893.8,0,0,0,40.0
2023-05-21,100,-5964.4,0,0,0,40.0
2023-05-22,100,-6369.2,0,0,0,40.0
2023-05-23,100,-5762.8,0,0,0,40.0
2023-05-24,100,-5567.1,0,0,0,40.0
2023-05-25,100,-6080.5,0,0,0,40.0
2023-05-26,95.6,-5057.1,65,0,0,40.0
2023-05-27,100,-4263.6,0,0,0,40.0
2023-05-28,100,-4500.1,0,0,1,40.0
2023-05-29,100.0,-4610.9,1,0,0,40.0
2023-05-30,100,-5027.8,0,0,0,40.0
2023-05-31,0,-9,9,9,9,-9
2023-06-01,100,-4599.0,0,0,0,40.0
2023-06-02,100,-3596.9,0,0,0,40.0
2023-06-03,100,-4906.6,0,0,0,40.0
2023-06-04,100,-5345.6,0,0,0,40.0
2023-06-05,96.6,-4543.2,16,2,0,40.0
2023-06-06,100,-3777.3,0,0,0,40.0
2023-06-07,100,-3629.4,0,0,0,40.0
2023-06-08,100,-3886.8,0,0,0,40.0
2023-06-09,100,-3830.0,0,0,0,40.0
2023-06-10,100,-4658.7,0,0,0,40.0
2023-06-11,100.0,-4809.8,1,0,0,40.0
2023-06-12,100,-3887.7,0,0,0,40.0
2023-06-13,100,-3780.1,0,0,0,40.0
2023-06-14,100,-4241.4,0,0,0,40.0
2023-06-15,95.8,-2224.6,84,0,0,40.0
2023-06-16,96.6,-3090.6,83,0,0,40.0
2023-06-17,100,-2782.8,0,0,0,40.0
2023-06-18,100,-2329.4,0,0,0,40.0
2023-06-19,100,-2054.2,0,0,0,40.0
2023-06-20,100,-2466.6,0,0,0,40.0
2023-06-21,100.0,-3295.2,2,0,0,40.0
2023-06-22,100.0,-3931.5,4,0,0,40.0
2023-06-23,100,-4557.3,0,0,0,40.0
2023-06-24,100,-5616.2,0,0,0,40.0
2023-06-25,100,-5061.8,0,0,0,40.0
2023-06-26,100,-4292.7,0,0,0,40.0
2023-06-27,100,-4891.2,0,0,0,40.0
2023-06-28,100,-4732.1,0,0,0,40.0
2023-06-29,100,-4612.9,0,0,0,40.0
2023-06-30,100,-3650.8,0,0,0,40.0
2023-07-01,100,-3772.2,0,0,0,40.0
2023-07-02,100,-4143.2,0,0,0,40.0
2023-07-03,100,-4233.1,0,0,0,40.0
2023-07-04,100,-4533.7,0,0,0,40.0
2023-07-05,100,-4951.9,0,0,0,40.0
2023-07-06,95.4,-4756.7,43,0,0,40.0
2023-07-07,100,-4835.5,0,0,0,40.0
2023-07-08,99.5,-4376.1,6,5,0,40.0
