fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,318.0,1,0,13,15.0
2023-01-02,100,552.0,0,0,12,10.0
2023-01-03,100,486.6,0,0,14,15.0
2023-01-04,100,744.9,0,0,14,20.0
2023-01-05,100,523.0,0,0,12,15.0
2023-01-06,100,526.9,0,0,8,15.0
2023-01-07,100,602.8,0,0,16,15.0
2023-01-08,100,660.3,0,0,12,15.0
2023-01-09,100,526.7,0,0,8,15.0
2023-01-10,100,566.1,0,0,17,10.0
2023-01-11,100,502.0,0,0,14,15.0
2023-01-12,100,524.1,0,0,12,15.0
2023-01-13,100,481.3,0,0,12,5.0
2023-01-14,100,507.0,0,0,11,15.0
2023-01-15,100,481.0,0,0,16,15.0
2023-01-16,100,669.3,0,0,10,15.0
2023-01-17,100,490.8,0,0,15,15.0
2023-01-18,100,492.8,0,0,9,15.0
2023-01-19,100,385.9,0,0,23,15.0
2023-01-20,100,487.4,0,1,24,20.0
2023-01-21,100,489.9,0,0,17,15.0
2023-01-22,100,486.6,0,0,11,15.0
2023-01-23,100,375.8,0,0,19,15.0
2023-01-24,100,817.4,0,0,10,15.0
2023-01-25,100,489.8,0,2,10,15.0
2023-01-26,100,562.4,0,0,4,15.0
2023-01-27,100,643.1,0,1,8,15.0
2023-01-28,100,731.1,0,0,8,15.0
2023-01-29,100,679.9,0,0,9,15.0
2023-01-30,100,668.7,0,1,11,15.0
2023-01-31,100,627.3,0,0,8,15.0
2023-02-01,100,627.3,0,0,8,15.0
2023-02-02,100,591.8,0,0,11,10.0
2023-02-03,100,567.1,0,0,6,15.0
2023-02-04,100,593.1,0,0,11,15.0
2023-02-05,100,566.4,0,0,12,15.0
2023-02-06,100,782.5,0,0,14,25.0
2023-02-07,100,638.2,0,1,12,15.0
2023-02-08,100,517.6,0,0,4,15.0
2023-02-09,100,698.8,0,0,10,15.0
2023-02-10,100,737.1,0,0,10,15.0
2023-02-11,100,543.6,0,0,11,10.0
2023-02-12,100,727.5,0,0,14,10.0
2023-02-13,100,644.5,0,0,14,15.0
2023-02-14,100,617.4,0,1,14,5.0
2023-02-15,100,777.7,0,2,11,10.0
2023-02-16,100,735.9,0,1,15,5.0
2023-02-17,100,606.0,0,0,11,5.0
2023-02-18,100,755.3,0,1,13,0.0
2023-02-19,100,597.1,0,1,14,15.0
2023-02-20,100,556.7,0,1,10,15.0
2023-02-21,100,572.9,0,0,17,10.0
2023-02-22,100,584.8,0,0,10,5.0
2023-02-23,100,554.9,0,0,14,10.0
2023-02-24,100,493.4,0,0,12,10.0
2023-02-25,100,578.0,0,1,5,5.0
2023-02-26,100,563.1,0,1,6,10.0
2023-02-27,100,660.3,0,0,8,5.0
2023-02-28,100,661.0,0,0,14,5.0
2023-03-01,100,473.7,0,1,16,0.0
2023-03-02,100,711.0,0,1,25,5.0
2023-03-03,100,720.8,0,0,11,0.0
2023-03-04,100,624.9,0,0,9,0.0
2023-03-05,100,627.9,0,0,28,10.0
2023-03-06,100,595.9,0,0,12,0.0
2023-03-07,100,598.4,0,0,12,0.0
2023-03-08,100,660.0,0,0,14,5.0
2023-03-09,100,640.4,0,0,13,0.0
2023-03-10,100,590.9,0,0,17,5.0
2023-03-11,100,688.2,0,0,18,0.0
2023-03-12,100,598.9,0,0,19,0.0
2023-03-13,100,568.0,0,0,17,5.0
2023-03-14,100,596.6,0,0,15,0.0
2023-03-15,88.7,123.4,2,0,13,0.0
2023-03-16,100,143.1,0,0,17,15.0
2023-03-17,100,160.4,0,0,20,15.0
2023-03-18,100,205.5,0,0,21,15.0
2023-03-19,100,332.0,0,0,12,10.0
2023-03-20,100,161.5,0,0,12,5.0
2023-03-21,100,162.5,0,0,11,0.0
2023-03-22,100,253.1,0,0,11,5.0
2023-03-23,100,119.7,0,0,15,5.0
2023-03-24,100,198.4,0,0,13,5.0
2023-03-25,100,224.5,0,0,21,10.0
2023-03-26,100,188.7,0,0,18,0.0
2023-03-27,100,198.7,0,1,13,0.0
2023-03-28,100,189.6,0,2,8,0.0
2023-03-29,100,204.1,0,1,18,0.0
2023-03-30,100,259.9,0,2,18,10.0
2023-03-31,100,248.1,0,0,11,10.0
2023-04-01,100,259.7,0,0,20,15.0
2023-04-02,100,683.5,0,0,7,0.0
2023-04-03,100,405.7,0,0,2,0.0
2023-04-04,100,349.3,0,0,14,0.0
2023-04-05,100,291.9,0,2,15,0.0
2023-04-06,100,250.7,0,0,11,0.0
2023-04-07,100,289.3,0,0,18,5.0
2023-04-08,100,379.8,0,0,15,0.0
2023-04-09,100,192.3,0,0,10,0.0
2023-04-10,100,196.4,0,0,13,0.0
2023-04-11,100,176.2,0,0,11,5.0
2023-04-12,100,205.1,0,0,12,0.0
2023-04-13,100,288.9,0,0,15,5.0
2023-04-14,100,127.4,0,0,9,0.0
2023-04-15,100,143.0,0,0,15,10.0
2023-04-16,100,236.5,0,0,20,5.0
2023-04-17,100,178.3,0,3,17,5.0
2023-04-18,100,167.9,0,0,18,10.0
2023-04-19,100,237.2,0,3,19,5.0
2023-04-20,100,210.5,0,0,20,10.0
2023-04-21,100,105.7,0,0,20,15.0
2023-04-22,100,190.3,0,0,29,15.0
2023-04-23,100,454.2,0,0,22,15.0
2023-04-24,100,272.8,0,0,24,25.0
2023-04-25,100,297.1,0,0,27,15.0
2023-04-26,100,158.4,0,1,20,10.0
2023-04-27,100,303.8,0,2,22,15.0
2023-04-28,100,267.8,0,0,25,15.0
2023-04-29,100,161.2,0,0,24,15.0
2023-04-30,100,355.9,0,0,22,10.0
2023-05-01,100,289.6,0,0,14,15.0
2023-05-02,100,526.9,0,0,20,15.0
2023-05-03,100,170.3,0,0,18,10.0
2023-05-04,100,319.4,0,0,15,5.0
2023-05-05,100,279.6,0,0,21,15.0
2023-05-06,100,266.6,0,0,19,5.0
2023-05-07,100,154.4,0,0,17,15.0
2023-05-08,100,493.4,0,0,14,5.0
2023-05-09,100,319.8,0,0,16,15.0
2023-05-10,100,190.5,0,0,14,5.0
2023-05-11,100,178.5,0,1,12,5.0
2023-05-12,100,271.9,0,0,12,5.0
2023-05-13,100,337.5,0,0,9,5.0
2023-05-14,100,324.6,0,0,11,5.0
2023-05-15,100,199.0,0,0,14,5.0
2023-05-16,100,154.5,0,0,12,5.0
2023-05-17,100,206.6,0,0,12,5.0
2023-05-18,100,-79.8,0,0,15,5.0
2023-05-19,100,126.5,0,0,20,15.0
2023-05-20,100,-1679.5,0,0,7,10.0
2023-05-21,100,-145.0,0,0,9,10.0
2023-05-22,100,571.5,0,0,21,15.0
2023-05-23,100,554.5,0,0,19,15.0
2023-05-24,100,222.6,0,0,21,15.0
2023-05-25,100,-926.3,0,0,9,15.0
2023-05-26,100,289.7,0,0,17,10.0
2023-05-27,100,1049.8,0,0,17,5.0
2023-05-28,100,1162.7,0,0,8,15.0
2023-05-29,100,242.3,0,1,13,5.0
2023-05-30,100,113.5,0,0,5,5.0
2023-05-31,100,-122.3,0,0,4,5.0
2023-06-01,100,73.1,0,0,9,5.0
2023-06-02,100,310.7,0,0,11,5.0
2023-06-03,100,357.3,0,0,16,10.0
2023-06-04,100,341.0,0,0,12,10.0
2023-06-05,100,297.6,0,0,17,5.0
2023-06-06,100,172.9,0,0,14,5.0
2023-06-07,100,93.6,0,0,16,5.0
2023-06-08,100,11.5,0,0,7,5.0
2023-06-09,100,-67.9,0,0,14,10.0
2023-06-10,100,-53.1,0,0,13,15.0
2023-06-11,100,-34.4,0,1,16,10.0
