fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-32718.3,1,0,0,40.0
2023-01-02,100,-32591.2,0,0,0,40.0
2023-01-03,52.0,-32633.4,1,0,0,30.0
2023-01-04,100,-32538.7,0,0,0,40.0
2023-01-05,100,-32651.4,0,0,1,40.0
2023-01-06,100,-32703.5,0,0,0,40.0
2023-01-07,100,-32795.9,0,0,1,40.0
2023-01-08,100,-32637.0,0,0,0,40.0
2023-01-09,100,-32683.5,0,0,0,40.0
2023-01-10,100,-32681.6,0,0,0,40.0
2023-01-11,100,-32625.9,0,0,0,40.0
2023-01-12,100,-32742.3,0,0,0,40.0
2023-01-13,100,-32739.0,0,0,0,40.0
2023-01-14,100,-32782.2,0,0,0,40.0
2023-01-15,79.6,-32791.7,1,0,0,40.0
2023-01-16,100,-32834.8,0,0,1,40.0
2023-01-17,100,-32808.2,0,0,1,40.0
2023-01-18,100,-32863.6,0,0,0,40.0
2023-01-19,100,-32912.4,0,0,0,40.0
2023-01-20,100.0,-32835.2,1,0,0,40.0
2023-01-21,98.3,-32804.1,1,0,0,40.0
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,66.1,-32913.2,1,0,0,40.0
2023-01-27,100.0,-32916.5,1,0,1,40.0
2023-01-28,100,-32901.5,0,0,0,40.0
2023-01-29,100,-32910.3,0,0,0,40.0
2023-01-30,100.0,-32920.0,1,0,1,40.0
2023-01-31,100,-32945.5,0,0,0,40.0
2023-02-01,100,-32943.7,0,0,0,40.0
2023-02-02,85.7,-32971.9,1,0,0,40.0
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,34.7,-32845.6,1,0,0,40.0
2023-02-07,99.8,-32881.3,4,0,0,40.0
2023-02-08,100,-32799.7,0,0,0,40.0
2023-02-09,100,-32817.0,0,0,0,40.0
2023-02-10,100,-32797.5,0,0,2,40.0
2023-02-11,100,-32773.2,0,0,0,40.0
2023-02-12,100,-32807.5,0,0,1,40.0
2023-02-13,100,-32851.6,0,0,0,40.0
2023-02-14,100.0,-32879.8,1,0,2,40.0
