fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,1916.5,1,0,5,15.0
2023-01-02,100,1746.8,0,0,8,0.0
2023-01-03,100,1775.5,0,0,2,0.0
2023-01-04,100,1893.2,0,0,2,15.0
2023-01-05,100,1897.1,0,0,6,25.0
2023-01-06,100,1944.3,0,0,7,15.0
2023-01-07,100,246.0,0,0,6,0.0
2023-01-08,100,1036.1,0,0,0,0.0
2023-01-09,100,1149.3,0,0,2,20.0
2023-01-10,100,1152.1,0,0,6,20.0
2023-01-11,100,2949.8,0,0,2,10.0
2023-01-12,100,3035.0,0,0,3,15.0
2023-01-13,100,1670.5,0,0,2,20.0
2023-01-14,100,1391.0,0,0,11,20.0
2023-01-15,100,1384.7,0,0,2,5.0
2023-01-16,100,1350.3,0,0,7,15.0
2023-01-17,100,1250.9,0,0,3,0.0
2023-01-18,100,1387.0,0,0,4,20.0
2023-01-19,100,1421.0,0,0,7,15.0
2023-01-20,100,1397.0,0,1,5,15.0
2023-01-21,100,1414.1,0,0,2,15.0
2023-01-22,100,1441.1,0,0,4,20.0
2023-01-23,100,1361.3,0,0,6,0.0
2023-01-24,100,1444.0,0,0,2,15.0
2023-01-25,100,1531.8,0,2,5,20.0
2023-01-26,100,1560.5,0,0,8,25.0
2023-01-27,100,1562.8,0,1,7,25.0
2023-01-28,100,1568.7,0,0,2,25.0
2023-01-29,100,1575.3,0,0,10,20.0
2023-01-30,100,1618.2,0,1,11,25.0
2023-01-31,100,1593.8,0,0,3,20.0
2023-02-01,100,1621.7,0,0,5,25.0
2023-02-02,100,1629.5,0,0,1,20.0
2023-02-03,100,1626.9,0,0,3,0.0
2023-02-04,100,1651.1,0,0,1,0.0
2023-02-05,100,1475.6,0,0,2,25.0
2023-02-06,100,1481.6,0,0,5,25.0
2023-02-07,100,1790.6,0,1,9,15.0
2023-02-08,100,1723.3,0,0,3,0.0
2023-02-09,100,1562.1,0,0,9,0.0
2023-02-10,100,1398.2,0,0,13,5.0
2023-02-11,100,1732.5,0,0,10,15.0
2023-02-12,100,1710.3,0,0,8,0.0
2023-02-13,100,1702.1,0,0,8,0.0
2023-02-14,100,67767.4,0,1,10,0.0
2023-02-15,100,242637.5,0,2,4,0.0
2023-02-16,100,995789.1,0,1,0,5.0
2023-02-17,100,74863.4,0,0,0,0.0
