fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-25,17.8,23420.7,1,0,0,35.0
2023-09-26,100,22948.1,0,0,1,35.0
2023-09-27,100.0,23732.3,1,1,0,35.0
2023-09-28,100,23900.9,0,2,0,35.0
2023-09-29,100.0,23594.5,1,1,0,35.0
2023-09-30,100,24104.8,0,0,0,35.0
2023-10-01,100,24134.7,0,0,0,35.0
2023-10-02,100.0,24209.7,1,0,0,35.0
2023-10-03,100.0,24677.6,1,0,0,35.0
2023-10-04,100.0,24756.0,1,0,0,30.0
2023-10-05,100.0,24586.0,1,0,0,35.0
2023-10-06,99.9,24478.1,2,3,0,35.0
2023-10-07,100,24190.5,0,8,0,35.0
2023-10-08,100,23851.9,0,1,0,30.0
2023-10-09,100.0,23944.4,1,12,0,35.0
2023-10-10,100.0,23827.2,1,6,0,35.0
2023-10-11,100.0,23404.0,1,0,0,30.0
2023-10-12,100.0,23930.6,1,3,1,35.0
2023-10-13,100.0,24174.0,1,1,0,30.0
2023-10-14,100,23924.5,0,0,0,30.0
2023-10-15,100,23685.2,0,2,0,30.0
2023-10-16,100.0,22837.6,1,2,0,35.0
2023-10-17,100.0,23642.2,1,3,0,30.0
2023-10-18,100.0,24136.3,1,0,0,30.0
2023-10-19,100.0,24117.1,1,1,0,30.0
2023-10-20,100.0,23915.2,2,2,0,35.0
2023-10-21,100.0,23276.4,1,1,0,30.0
2023-10-22,100,23715.5,0,1,0,30.0
2023-10-22,100.0,23715.5,1,1,0,30.0
2023-10-23,100,24303.5,0,0,0,30.0
2023-10-24,100,24247.0,0,0,0,30.0
2023-10-25,100.0,23351.5,2,1,0,35.0
2023-10-26,100.0,23996.0,1,0,0,35.0
2023-10-27,100,24115.2,0,4,0,30.0
2023-10-28,100,23986.0,0,2,0,35.0
2023-10-29,100,23673.1,0,3,0,35.0
2023-10-30,100.0,22953.9,1,3,0,35.0
2023-10-31,100,23047.4,0,0,0,35.0
2023-11-01,100,23142.1,0,4,0,35.0
2023-11-02,100.0,23022.6,1,1,0,35.0
2023-11-03,100,22474.1,0,4,0,35.0
2023-11-04,100,22793.7,0,4,0,35.0
2023-11-05,100,21706.8,0,0,0,35.0
2023-11-06,100,22964.5,0,0,0,35.0
2023-11-07,100.0,23531.0,2,1,0,35.0
2023-11-08,100,23457.8,0,0,0,35.0
2023-11-09,100.0,23546.4,5,0,0,35.0
2023-11-10,100.0,23863.8,4,1,0,35.0
2023-11-11,100,23822.6,0,0,0,30.0
2023-11-12,100.0,23937.4,1,0,0,30.0
2023-11-13,100,23951.7,0,0,0,30.0
2023-11-14,100,24163.9,0,0,0,30.0
2023-11-15,100,24148.2,0,0,0,35.0
2023-11-16,100,24444.6,0,0,0,35.0
2023-11-17,100.0,24291.8,2,0,0,35.0
2023-11-18,100,24262.2,0,1,0,35.0
