fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,501.6,1,0,3,25.0
2023-01-02,100,509.3,0,0,2,25.0
2023-01-03,100,512.4,0,0,2,25.0
2023-01-04,100,508.4,0,0,2,25.0
2023-01-05,100,510.9,0,0,1,25.0
2023-01-06,100,505.4,0,0,4,25.0
2023-01-07,100,503.7,0,0,1,25.0
2023-01-08,100,505.0,0,0,1,25.0
2023-01-09,100,507.6,0,0,3,25.0
2023-01-10,100,512.3,0,0,1,25.0
2023-01-11,100,505.9,0,0,2,25.0
2023-01-12,100,502.4,0,0,2,25.0
2023-01-13,100,496.6,0,0,3,25.0
2023-01-14,100,500.0,0,0,3,25.0
2023-01-15,100,496.8,0,0,3,25.0
2023-01-16,100,497.6,0,0,0,25.0
2023-01-17,100,500.4,0,0,1,25.0
2023-01-18,100,496.6,0,0,0,25.0
2023-01-19,100,498.2,0,0,1,25.0
2023-01-20,100.0,494.7,1,0,3,25.0
2023-01-21,100,496.5,0,0,2,25.0
2023-01-22,100,493.4,0,0,2,25.0
2023-01-23,100,501.0,0,0,3,25.0
2023-01-24,100,501.6,0,0,1,25.0
2023-01-25,100,502.2,0,3,2,25.0
2023-01-26,100,502.0,0,0,5,25.0
2023-01-27,100,494.1,0,1,3,25.0
2023-01-28,100,496.4,0,0,1,25.0
2023-01-29,100,495.2,0,0,3,25.0
2023-01-30,100,488.1,0,1,2,25.0
2023-01-31,100,487.5,0,0,2,25.0
2023-02-01,100,492.1,0,0,2,25.0
2023-02-02,100,491.7,0,0,1,25.0
2023-02-03,100,492.1,0,0,1,25.0
2023-02-04,100,484.8,0,0,0,25.0
2023-02-05,100,481.9,0,0,1,25.0
2023-02-06,100,480.6,0,0,2,25.0
2023-02-07,100,492.6,0,1,3,25.0
2023-02-08,100,503.6,0,0,3,25.0
2023-02-09,100,508.1,0,0,2,25.0
2023-02-10,100,504.4,0,0,1,25.0
2023-02-11,100,500.6,0,0,1,25.0
2023-02-12,100,496.9,0,0,0,25.0
2023-02-13,100,500.2,0,0,2,25.0
2023-02-14,100,497.4,0,1,1,25.0
2023-02-15,81.2,503.6,1,1,3,25.0
2023-02-16,0,-9,0,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,0,-9,0,0,0,-9
2023-02-20,0,-9,0,0,0,-9
2023-02-21,0,-9,0,0,0,-9
2023-02-22,0,-9,0,0,0,-9
2023-02-23,0,-9,0,0,0,-9
2023-02-24,0,-9,0,0,0,-9
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
2023-02-27,0,-9,0,0,0,-9
2023-02-28,0,-9,0,0,0,-9
2023-03-01,0,-9,0,0,0,-9
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,0,-9,0,0,0,-9
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,0,-9,0,0,0,-9
2023-03-21,0,-9,0,0,0,-9
2023-03-22,0,-9,0,0,0,-9
2023-03-23,0,-9,0,0,0,-9
2023-03-24,0,-9,0,0,0,-9
2023-03-25,0,-9,0,0,0,-9
2023-03-26,0,-9,0,0,0,-9
2023-03-27,0,-9,0,0,0,-9
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,25.6,1256.7,1,0,1,30.0
2023-04-12,81.0,475.7,1,0,0,30.0
2023-04-13,100,450.4,0,0,2,25.0
2023-04-14,100,443.4,0,0,4,25.0
2023-04-15,100,432.2,0,0,3,25.0
2023-04-16,83.9,477.0,4,0,2,25.0
2023-04-17,100,583.3,0,3,1,25.0
2023-04-18,100,581.0,0,0,3,25.0
2023-04-19,100,572.0,0,3,4,25.0
2023-04-20,100,571.6,0,0,2,25.0
2023-04-21,100,588.9,0,0,1,20.0
2023-04-22,100,601.3,0,0,2,25.0
2023-04-23,100,585.1,0,0,2,25.0
2023-04-24,100,582.2,0,0,4,25.0
2023-04-25,100,570.3,0,0,0,25.0
2023-04-26,100,573.6,0,1,0,20.0
2023-04-27,100,580.4,0,2,2,20.0
2023-04-28,100,577.7,0,0,1,25.0
2023-04-29,100,569.7,0,0,2,25.0
2023-04-30,93.6,569.7,5,0,3,25.0
2023-05-01,100,573.0,0,0,2,25.0
2023-05-02,100,566.0,0,0,1,25.0
2023-05-03,100,556.7,0,0,3,25.0
2023-05-04,100,548.4,0,0,1,25.0
2023-05-05,100,545.5,0,0,2,25.0
2023-05-06,100,544.6,0,0,3,25.0
