fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-296476.7,1,0,0,35.0
2023-01-02,100,-296543.0,0,0,0,35.0
2023-01-03,100,-296982.1,0,0,0,35.0
2023-01-04,100,-297086.2,0,0,0,35.0
2023-01-05,100,-296706.6,0,0,0,35.0
2023-01-06,100,-296751.9,0,0,0,35.0
2023-01-07,100,-297053.0,0,0,0,35.0
2023-01-08,100,-297411.5,0,0,0,35.0
2023-01-09,100,-297688.3,0,0,0,35.0
2023-01-10,100,-296712.6,0,0,0,35.0
2023-01-11,100,-296900.0,0,0,0,35.0
2023-01-12,100,-297026.0,0,0,0,35.0
2023-01-13,100,-296779.0,0,0,0,40.0
2023-01-14,100,-296647.8,0,0,1,35.0
2023-01-15,100,-296578.7,0,0,1,40.0
2023-01-16,100,-296244.7,0,0,0,35.0
2023-01-17,100,-296935.4,0,0,0,35.0
2023-01-18,100,-297845.4,0,0,0,35.0
2023-01-19,100,-297314.8,0,0,0,35.0
2023-01-20,100.0,-297174.1,1,0,0,35.0
2023-01-21,100,-297153.9,0,0,0,35.0
2023-01-22,100,-297622.1,0,0,0,35.0
2023-01-23,100,-297288.0,0,0,0,35.0
2023-01-24,100,-296492.8,0,0,0,35.0
2023-01-25,100.0,-296960.3,2,0,0,35.0
2023-01-26,100,-297096.8,0,0,0,35.0
2023-01-27,100.0,-297556.5,1,0,0,35.0
2023-01-28,100,-297324.2,0,0,0,35.0
2023-01-29,100,-297022.6,0,0,0,35.0
2023-01-30,100.0,-297307.6,1,0,0,35.0
2023-01-31,100,-297661.4,0,0,0,35.0
2023-02-01,100,-297286.8,0,0,0,35.0
2023-02-02,100,-297400.5,0,0,0,35.0
2023-02-03,100,-297664.5,0,0,0,35.0
2023-02-04,100,-297368.6,0,0,0,35.0
2023-02-05,100,-297023.2,0,0,0,35.0
2023-02-06,100,-296663.9,0,0,0,40.0
2023-02-07,99.8,-296315.6,4,0,1,40.0
2023-02-08,100,-296926.4,0,0,0,35.0
2023-02-09,100,-296559.8,0,0,0,35.0
2023-02-10,100,-296521.0,0,0,0,35.0
2023-02-11,100,-296143.6,0,0,0,35.0
2023-02-12,100,-295585.3,0,0,0,35.0
2023-02-13,100,-295537.9,0,0,0,35.0
2023-02-14,100.0,-295117.2,1,0,0,35.0
2023-02-15,100.0,-295621.6,2,0,0,40.0
2023-02-16,99.9,-295826.5,2,1,0,40.0
2023-02-17,100,-296326.4,0,0,0,35.0
2023-02-18,100.0,-296375.9,1,0,0,35.0
2023-02-19,100.0,-296702.9,1,0,0,35.0
2023-02-20,100.0,-295925.3,1,0,0,35.0
2023-02-21,100,-295934.0,0,0,0,35.0
2023-02-22,100,-295836.4,0,0,0,35.0
2023-02-23,100,-295563.2,0,0,0,35.0
2023-02-24,100,-295958.1,0,3,0,35.0
2023-02-25,100.0,-295320.8,1,0,0,35.0
2023-02-26,100.0,-295448.9,1,0,0,35.0
2023-02-27,100,-295877.7,0,0,0,35.0
2023-02-28,100,-295626.9,0,0,0,35.0
2023-03-01,100.0,-296105.9,1,3,0,35.0
2023-03-02,100.0,-296394.0,1,0,0,35.0
2023-03-03,100,-296081.4,0,3,0,35.0
2023-03-04,100,-295901.6,0,0,0,35.0
2023-03-05,100,-295660.4,0,0,0,35.0
2023-03-06,100,-296201.4,0,0,0,35.0
2023-03-07,100,-296555.9,0,0,0,35.0
2023-03-08,100,-296359.2,0,0,1,35.0
2023-03-09,100,-296224.4,0,0,0,35.0
2023-03-10,100,-297146.7,0,3,1,35.0
2023-03-11,99.7,-297177.6,2,0,1,35.0
2023-03-12,100,-297634.4,0,0,0,35.0
2023-03-13,100,-297384.4,0,2,0,35.0
2023-03-14,100,-296916.9,0,0,0,35.0
2023-03-15,100,-296627.3,0,0,0,35.0
2023-03-16,100,-297044.6,0,0,0,35.0
2023-03-17,100,-296461.6,0,0,0,35.0
2023-03-18,100,-295485.8,0,0,0,35.0
2023-03-19,100,-295287.1,0,2,0,35.0
2023-03-20,100,-295383.1,0,2,0,35.0
2023-03-21,100,-295540.4,0,2,0,35.0
2023-03-22,100,-295342.0,0,0,0,35.0
2023-03-23,100,-295867.1,0,2,0,35.0
2023-03-24,100,-295272.0,0,0,0,35.0
2023-03-25,100,-295478.3,0,0,0,35.0
2023-03-26,100,-296019.3,0,0,1,35.0
2023-03-27,100.0,-296211.5,1,0,0,35.0
2023-03-28,100.0,-296089.0,2,0,0,35.0
2023-03-29,100.0,-296122.3,1,0,0,35.0
2023-03-30,100.0,-296053.0,2,0,0,35.0
2023-03-31,100,-296196.0,0,0,0,35.0
2023-04-01,100,-296117.3,0,0,0,35.0
2023-04-02,65.6,-297323.9,4,0,0,25.0
2023-04-03,67.5,-297373.7,4,0,0,25.0
2023-04-04,77.2,-297653.1,5,0,0,25.0
2023-04-05,70.6,-296840.3,2,0,0,25.0
2023-04-06,94.8,-296697.9,4,0,0,35.0
2023-04-07,49.7,-297006.6,4,0,0,5.0
2023-04-08,75.0,-297282.9,3,0,0,25.0
2023-04-09,39.9,-298423.3,8,0,0,35.0
2023-04-10,42.6,-298135.4,10,0,0,35.0
2023-04-11,73.6,-297634.9,6,2,0,25.0
2023-04-12,100,-296871.6,0,0,0,35.0
2023-04-13,100,-296701.8,0,0,0,35.0
2023-04-14,62.4,-296874.7,2,0,0,20.0
2023-04-15,98.7,-296276.6,4,0,1,35.0
2023-04-16,56.1,-297431.2,15,0,0,25.0
2023-04-17,39.2,-297349.3,3,1,0,30.0
2023-04-18,71.8,-297442.0,16,0,0,25.0
2023-04-19,52.6,-297423.4,20,0,0,15.0
2023-04-20,37.8,-297483.0,5,0,0,30.0
2023-04-21,34.6,-297916.2,6,0,0,30.0
2023-04-22,31.5,-298520.0,7,0,0,30.0
2023-04-23,29.7,-299051.1,7,0,0,35.0
2023-04-24,42.3,-299035.8,2,0,0,35.0
2023-04-25,48.6,-299049.8,2,0,0,5.0
2023-04-26,83.2,-298946.5,8,0,0,30.0
2023-04-27,100.0,-298807.4,2,0,0,35.0
2023-04-28,100,-298129.5,0,0,0,35.0
2023-04-29,100,-297126.5,0,0,1,35.0
2023-04-30,100,-297308.1,0,0,0,35.0
2023-05-01,100,-297834.1,0,0,0,35.0
2023-05-02,100,-297751.6,0,0,0,35.0
2023-05-03,100,-297712.9,0,0,1,35.0
2023-05-04,100,-297860.3,0,0,0,35.0
2023-05-05,100,-296722.7,0,0,0,35.0
2023-05-06,100,-297154.8,0,0,0,35.0
2023-05-07,100,-297555.6,0,0,1,35.0
2023-05-08,100,-297063.9,0,0,0,35.0
2023-05-09,100,-297743.5,0,0,0,35.0
2023-05-10,100,-297521.9,0,0,0,35.0
2023-05-11,99.9,-297199.3,1,0,0,35.0
2023-05-12,100,-296892.4,0,0,0,35.0
2023-05-13,100,-296773.5,0,0,0,35.0
2023-05-14,100,-296705.2,0,0,1,35.0
2023-05-15,100,-296770.8,0,0,0,35.0
2023-05-16,100,-296271.7,0,0,0,35.0
2023-05-17,100,-296224.2,0,0,0,35.0
2023-05-18,100,-296345.5,0,0,0,35.0
2023-05-19,100,-296002.5,0,0,0,35.0
2023-05-20,100,-295856.3,0,0,1,35.0
2023-05-21,100,-296274.0,0,0,0,35.0
2023-05-22,100,-296299.6,0,0,0,35.0
2023-05-23,100,-296249.3,0,0,0,35.0
2023-05-24,100,-295903.7,0,0,0,35.0
2023-05-25,100,-296327.8,0,0,0,40.0
2023-05-26,100,-296615.5,0,0,0,35.0
2023-05-27,100,-296868.6,0,0,0,35.0
2023-05-28,100,-296190.4,0,0,0,35.0
2023-05-29,100.0,-296299.2,1,0,0,35.0
2023-05-30,100,-296095.9,0,0,0,35.0
2023-05-31,100,-295649.5,0,0,0,35.0
2023-06-01,100,-295716.4,0,0,0,35.0
2023-06-02,100,-296235.1,0,0,0,35.0
2023-06-03,100,-296398.8,0,0,0,35.0
2023-06-04,100,-296784.4,0,0,0,35.0
2023-06-05,100,-296230.6,0,0,0,35.0
2023-06-06,100,-296658.4,0,0,0,35.0
2023-06-07,100,-296637.4,0,0,0,35.0
2023-06-08,73.5,-296680.8,1,0,0,35.0
2023-06-09,0,-9,0,0,0,-9
2023-06-10,0,-9,0,0,0,-9
2023-06-11,0,-9,0,0,0,-9
2023-06-12,0,-9,0,0,0,-9
2023-06-13,0,-9,0,0,0,-9
2023-06-14,0,-9,0,0,0,-9
2023-06-15,0,-9,0,0,0,-9
2023-06-16,0,-9,0,0,0,-9
2023-06-17,100.0,-297966.9,1,0,1,35.0
