fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-05,0,-9,0,0,0,-9
2023-09-06,0,-9,0,0,0,-9
2023-09-07,0,-9,0,0,0,-9
2023-09-08,0,-9,0,0,0,-9
2023-09-09,0,-9,0,0,0,-9
2023-09-10,0,-9,0,0,0,-9
2023-09-11,0,-9,0,0,0,-9
2023-09-12,0,-9,0,0,0,-9
2023-09-13,0,-9,0,0,0,-9
2023-09-14,0,-9,0,0,0,-9
2023-09-15,0,-9,0,0,0,-9
2023-09-16,0,-9,0,0,0,-9
2023-09-17,0,-9,0,0,0,-9
2023-09-18,0,-9,0,0,0,-9
2023-09-19,0,-9,0,0,0,-9
2023-09-20,0,-9,0,0,0,-9
2023-09-21,0,-9,0,0,0,-9
2023-09-22,0,-9,0,0,0,-9
2023-09-23,0,-9,0,0,0,-9
2023-09-24,0,-9,0,0,0,-9
2023-09-25,0,-9,0,0,0,-9
2023-09-26,0,-9,0,0,0,-9
2023-09-27,0,-9,0,0,0,-9
2023-09-28,0,-9,0,0,0,-9
2023-09-29,0,-9,0,0,0,-9
2023-09-30,0,-9,0,0,0,-9
2023-10-01,0,-9,0,0,0,-9
2023-10-02,0,-9,0,0,0,-9
2023-10-03,0,-9,0,0,0,-9
2023-10-04,0,-9,0,0,0,-9
2023-10-05,0,-9,0,0,0,-9
2023-10-06,0,-9,0,0,0,-9
2023-10-07,0,-9,0,0,0,-9
2023-10-08,0,-9,0,0,0,-9
2023-10-09,0,-9,0,0,0,-9
2023-10-10,0,-9,0,0,0,-9
2023-10-11,0,-9,0,0,0,-9
2023-10-12,0,-9,0,0,0,-9
2023-10-13,0,-9,0,0,0,-9
2023-10-14,0,-9,0,0,0,-9
2023-10-15,0,-9,0,0,0,-9
2023-10-16,0,-9,0,0,0,-9
2023-10-17,0,-9,0,0,0,-9
2023-10-18,0,-9,0,0,0,-9
2023-10-19,0,-9,0,0,0,-9
2023-10-20,0,-9,0,0,0,-9
2023-10-21,8.5,16605.2,1,0,1,40.0
2023-10-22,100,337.8,0,0,2,15.0
2023-10-22,100.0,337.8,1,0,2,15.0
2023-10-23,100,-541.1,0,0,2,20.0
2023-10-24,100,634.9,0,0,0,20.0
2023-10-25,100.0,144.8,2,0,0,20.0
2023-10-26,100.0,164.3,1,0,0,15.0
2023-10-27,100,316.6,0,0,0,15.0
2023-10-28,100,493.9,0,0,1,15.0
2023-10-29,100,604.4,0,0,0,15.0
2023-10-30,100.0,-98.5,2,0,1,15.0
2023-10-31,100,556.6,0,0,3,25.0
2023-11-01,100.0,654.4,1,0,1,15.0
2023-11-02,100.0,1183.4,3,0,3,15.0
2023-11-03,100,360.9,0,0,1,15.0
2023-11-04,100,-122.0,0,0,2,15.0
2023-11-05,100,127.0,0,0,0,20.0
2023-11-06,100.0,131.9,1,0,0,15.0
2023-11-07,100.0,367.2,2,0,1,15.0
2023-11-08,100.0,197.4,1,0,4,25.0
2023-11-09,99.9,630.2,7,0,0,15.0
2023-11-10,100.0,964.7,6,0,1,15.0
2023-11-11,100.0,96.4,1,0,0,15.0
2023-11-12,100.0,230.6,2,0,0,15.0
2023-11-13,100,174.4,0,0,3,15.0
2023-11-14,100.0,146.8,1,0,0,15.0
