fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,1243.2,1,0,2,0.0
2023-01-02,100,1272.0,0,0,1,0.0
2023-01-03,100,1248.3,0,0,1,0.0
2023-01-04,100,1258.7,0,0,2,0.0
2023-01-05,100,1258.5,0,0,1,0.0
2023-01-06,100,1257.6,0,0,6,0.0
2023-01-07,100,1248.2,0,0,0,0.0
2023-01-08,100,1256.4,0,0,1,0.0
2023-01-09,100,1257.2,0,0,3,0.0
2023-01-10,100,1277.4,0,0,2,0.0
2023-01-11,100,1257.2,0,0,1,0.0
2023-01-12,100,1262.9,0,0,0,0.0
2023-01-13,100,1246.3,0,0,2,0.0
2023-01-14,100,1234.2,0,0,3,0.0
2023-01-15,100,1241.9,0,0,3,0.0
2023-01-16,100,1242.7,0,0,3,0.0
2023-01-17,100,1281.7,0,0,1,0.0
2023-01-18,100,1252.3,0,0,2,0.0
2023-01-19,100,1265.5,0,0,0,0.0
2023-01-20,100,1264.9,0,1,9,0.0
2023-01-21,100,1260.3,0,0,0,0.0
2023-01-22,100,1256.5,0,0,2,0.0
2023-01-23,100,1247.8,0,0,0,0.0
2023-01-24,100,1234.5,0,0,3,0.0
2023-01-25,100,1219.8,0,2,0,0.0
2023-01-26,100,1272.3,0,0,1,0.0
2023-01-27,100,1230.1,0,1,3,0.0
2023-01-28,100,1216.5,0,0,0,0.0
2023-01-29,100,1215.2,0,0,4,0.0
2023-01-30,100,1220.2,0,1,0,0.0
2023-01-31,100,1342.7,0,0,2,0.0
2023-02-01,100,1230.0,0,0,3,0.0
2023-02-02,100,1210.9,0,0,2,0.0
2023-02-03,100,1307.7,0,0,1,0.0
2023-02-04,100,1238.1,0,0,0,0.0
2023-02-05,100,1218.4,0,0,0,0.0
2023-02-06,100,1177.0,0,0,6,0.0
2023-02-07,100,1218.6,0,1,5,0.0
2023-02-08,100,1200.4,0,0,1,0.0
2023-02-09,100,1218.1,0,0,1,0.0
2023-02-10,100,1221.6,0,0,0,0.0
2023-02-11,100,1221.7,0,0,1,0.0
2023-02-12,100,1230.1,0,0,1,0.0
2023-02-13,100,1248.1,0,0,0,0.0
2023-02-14,100,1234.5,0,1,3,0.0
2023-02-15,100,1435.3,0,2,3,0.0
2023-02-16,100,1270.2,0,1,4,0.0
2023-02-17,100,1280.1,0,0,0,0.0
2023-02-18,100,1257.4,0,1,0,0.0
2023-02-19,100,1244.3,0,1,5,0.0
2023-02-20,100,1265.6,0,1,5,0.0
2023-02-21,100,1255.7,0,0,5,0.0
2023-02-22,100,1271.8,0,0,3,0.0
2023-02-23,100,1266.6,0,0,6,0.0
2023-02-24,100,1212.1,0,0,3,0.0
2023-02-25,100,1232.8,0,1,2,0.0
2023-02-26,100,1233.3,0,1,1,0.0
2023-02-27,100,1216.3,0,0,10,0.0
2023-02-28,100,1217.9,0,0,5,0.0
2023-03-01,100,1248.2,0,1,10,0.0
2023-03-02,100,1193.4,0,1,7,0.0
2023-03-03,100,1242.6,0,0,11,0.0
2023-03-04,100,1231.2,0,0,7,0.0
2023-03-05,100,1239.8,0,0,1,0.0
2023-03-06,100,1248.8,0,0,1,0.0
2023-03-07,100,1233.2,0,0,9,0.0
2023-03-08,100,1250.5,0,0,2,0.0
2023-03-09,100,1279.9,0,0,4,0.0
2023-03-10,100,1271.3,0,0,8,0.0
2023-03-11,100,1275.8,0,0,2,0.0
2023-03-12,100,1287.3,0,0,0,0.0
2023-03-13,100,1281.1,0,0,8,0.0
2023-03-14,100,1298.1,0,0,7,0.0
2023-03-15,100,1266.5,0,0,4,0.0
2023-03-16,100,1286.3,0,0,13,0.0
2023-03-17,100,1252.1,0,0,4,0.0
2023-03-18,100,1287.6,0,0,5,0.0
2023-03-19,100,1262.3,0,0,1,0.0
2023-03-20,100,1220.2,0,0,11,0.0
2023-03-21,100,1246.3,0,0,9,0.0
2023-03-22,100,1235.9,0,0,1,0.0
2023-03-23,100,1246.6,0,0,3,0.0
2023-03-24,100,1230.2,0,0,11,0.0
2023-03-25,100,1260.6,0,0,4,0.0
2023-03-26,100,1261.1,0,0,3,0.0
2023-03-27,100,1262.3,0,1,2,0.0
2023-03-28,100,1241.5,0,2,4,0.0
2023-03-29,100,1239.1,0,1,5,0.0
2023-03-30,100,1206.4,0,2,11,0.0
2023-03-31,100,1244.5,0,0,10,0.0
2023-04-01,100,1226.9,0,0,5,0.0
2023-04-02,100,1244.1,0,0,4,0.0
2023-04-03,100,1224.0,0,0,5,0.0
2023-04-04,100,1232.0,0,0,8,0.0
2023-04-05,100,1222.3,0,2,2,0.0
2023-04-06,100,1272.6,0,0,5,0.0
2023-04-07,100,1270.2,0,0,5,0.0
2023-04-08,100,1261.6,0,0,2,0.0
2023-04-09,100,1249.7,0,0,2,0.0
2023-04-10,100,1235.1,0,0,2,0.0
2023-04-11,100,1230.4,0,0,2,0.0
2023-04-12,100,1227.3,0,0,1,0.0
2023-04-13,100,1217.6,0,0,1,0.0
2023-04-14,100,1237.7,0,0,4,0.0
2023-04-15,100,1228.7,0,0,4,0.0
2023-04-16,100,1316.9,0,0,3,0.0
2023-04-17,100,1264.6,0,3,1,0.0
2023-04-18,100,1242.8,0,0,5,0.0
2023-04-19,100,1221.9,0,3,2,0.0
2023-04-20,100,1263.5,0,0,5,0.0
2023-04-21,100,1272.2,0,0,4,0.0
2023-04-22,100,1256.0,0,0,3,0.0
2023-04-23,100,1237.7,0,0,2,0.0
2023-04-24,100,1221.0,0,0,4,0.0
2023-04-25,100,1239.9,0,0,4,0.0
2023-04-26,100,1233.2,0,1,3,0.0
2023-04-27,100,1239.7,0,2,3,0.0
2023-04-28,100,1251.4,0,0,6,0.0
2023-04-29,100,1245.1,0,0,8,0.0
2023-04-30,100,1235.1,0,0,2,0.0
2023-05-01,100,1267.4,0,0,3,0.0
2023-05-02,100,1238.0,0,0,1,0.0
2023-05-03,100,1243.2,0,0,2,0.0
2023-05-04,100,1245.9,0,0,0,0.0
2023-05-05,100,1255.6,0,0,1,0.0
2023-05-06,100,1255.2,0,0,2,0.0
2023-05-07,100,1236.8,0,0,0,0.0
2023-05-08,100,1189.6,0,0,7,0.0
2023-05-09,100,1226.5,0,0,6,0.0
2023-05-10,100,1187.3,0,0,5,0.0
2023-05-11,100,1256.0,0,1,0,0.0
2023-05-12,100,1253.5,0,0,1,0.0
2023-05-13,100,1268.0,0,0,1,0.0
2023-05-14,100,1224.6,0,0,6,0.0
2023-05-15,100,1245.7,0,0,10,0.0
2023-05-16,100,1268.1,0,0,0,0.0
2023-05-17,100,1257.9,0,0,7,0.0
2023-05-18,100,1274.0,0,0,5,0.0
2023-05-19,100,1235.3,0,0,4,0.0
2023-05-20,100,1263.3,0,0,3,0.0
2023-05-21,100,1265.8,0,0,6,0.0
2023-05-22,100,1283.8,0,0,17,0.0
2023-05-23,100,1333.6,0,0,20,0.0
2023-05-24,100,1319.2,0,0,18,0.0
2023-05-25,100,1256.6,0,0,16,0.0
2023-05-26,100,1286.1,0,0,8,0.0
2023-05-27,100,1229.0,0,0,9,0.0
2023-05-28,100,1290.4,0,0,3,0.0
2023-05-29,100,1260.3,0,1,5,0.0
2023-05-30,100,1264.7,0,0,2,0.0
2023-05-31,100,1277.4,0,0,18,0.0
2023-06-01,100,1268.4,0,0,8,0.0
2023-06-02,100,1245.4,0,0,2,0.0
2023-06-03,100,1228.5,0,0,17,0.0
2023-06-04,100,1231.7,0,0,9,0.0
2023-06-05,100,1239.6,0,0,6,0.0
2023-06-06,100,1252.9,0,0,11,0.0
2023-06-07,100,1243.2,0,0,7,0.0
2023-06-08,100,1241.6,0,0,7,0.0
2023-06-09,100,1234.8,0,0,1,0.0
2023-06-10,100,1233.2,0,0,5,0.0
2023-06-11,100,1250.4,0,1,4,0.0
2023-06-12,100,1229.9,0,0,5,0.0
2023-06-13,100,1222.0,0,0,13,0.0
2023-06-14,100,1222.1,0,0,6,0.0
2023-06-15,100,1223.8,0,0,4,0.0
2023-06-16,100,1231.0,0,1,2,0.0
2023-06-17,100.0,1261.6,1,0,7,0.0
2023-06-18,100,1248.0,0,0,5,0.0
2023-06-19,100,1245.0,0,0,8,0.0
2023-06-20,100,1244.8,0,0,3,0.0
2023-06-21,100,1241.1,0,2,3,0.0
2023-06-22,100,1246.2,0,4,10,0.0
2023-06-23,100,1254.4,0,0,9,0.0
2023-06-24,100,1245.3,0,0,8,0.0
2023-06-25,100,1250.3,0,0,14,0.0
2023-06-26,100,1296.3,0,0,3,0.0
2023-06-27,100,1285.9,0,0,4,0.0
2023-06-28,100,1270.5,0,0,3,0.0
2023-06-29,100.0,1262.8,1,0,4,0.0
2023-06-30,100.0,1243.1,1,0,9,0.0
2023-07-01,100.0,1240.2,1,0,6,0.0
2023-07-02,100,1268.3,0,0,13,0.0
2023-07-03,100,1246.2,0,0,12,0.0
2023-07-04,100,1241.1,0,0,3,0.0
2023-07-05,100.0,1249.8,1,0,5,0.0
2023-07-06,100.0,1252.0,1,0,6,0.0
2023-07-07,100.0,1257.6,1,0,6,0.0
2023-07-08,100,1269.3,0,0,1,0.0
2023-07-09,100,1266.8,0,0,4,0.0
2023-07-10,100,1261.6,0,0,5,0.0
2023-07-11,100.0,1244.0,1,0,3,0.0
2023-07-12,100,1332.1,0,2,5,0.0
2023-07-13,100.0,1263.0,1,3,10,0.0
2023-07-14,100,1219.1,0,1,6,0.0
2023-07-15,100,1202.2,0,0,4,0.0
2023-07-16,100,1198.2,0,0,12,0.0
2023-07-17,100.0,1296.5,1,0,4,0.0
2023-07-18,100,1225.3,0,0,4,0.0
2023-07-19,100.0,1214.2,1,0,14,0.0
2023-07-20,100,1201.9,0,0,4,0.0
