fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-08-15,0,-9,0,0,0,-9
2023-08-16,0,-9,0,0,0,-9
2023-08-17,0,-9,0,0,0,-9
2023-08-18,0,-9,0,0,0,-9
2023-08-19,0,-9,0,0,0,-9
2023-08-20,27.2,-9687.0,1,0,4,25.0
2023-08-21,100,-6386.5,0,0,28,25.0
2023-08-22,100,-4598.4,0,0,24,25.0
2023-08-23,87.5,-3852.1,1,0,26,20.0
2023-08-24,100,-4201.8,0,0,35,25.0
2023-08-25,99.9,-4054.7,2,0,28,25.0
2023-08-26,100,-4205.2,0,0,24,25.0
2023-08-27,100,-4371.2,0,0,25,25.0
2023-08-28,100,-4238.8,0,0,13,25.0
2023-08-29,100,-4168.5,0,0,18,25.0
2023-08-30,100.0,-4291.4,1,0,17,25.0
2023-08-31,100,-4374.7,0,0,17,25.0
2023-09-01,99.9,-4357.0,1,0,7,25.0
2023-09-02,100,-4155.5,0,0,17,25.0
2023-09-03,100,-4147.0,0,0,9,25.0
2023-09-04,100.0,-3739.1,1,0,6,25.0
2023-09-05,100.0,-3820.3,2,0,14,25.0
2023-09-06,100,-3864.8,0,0,7,25.0
2023-09-07,100.0,-3726.8,1,0,16,25.0
2023-09-08,100,-3997.1,0,0,11,25.0
2023-09-09,100,-4035.0,0,0,11,25.0
2023-09-10,100.0,-3679.9,1,0,12,25.0
2023-09-11,100.0,-3588.9,1,0,10,25.0
2023-09-12,100.0,-3831.8,1,0,13,25.0
2023-09-13,100.0,-3997.0,1,0,21,25.0
2023-09-14,100,-3740.8,0,0,10,25.0
2023-09-15,100,-3315.3,0,0,10,25.0
2023-09-16,100,-3564.9,0,0,15,25.0
2023-09-17,100,-3659.4,0,0,11,25.0
2023-09-18,100,-3379.4,0,0,13,25.0
2023-09-19,100,-3385.2,0,0,12,25.0
2023-09-20,100.0,-3286.1,1,0,9,25.0
2023-09-21,100.0,-3378.0,1,0,18,25.0
2023-09-22,100.0,-3370.1,1,0,15,25.0
2023-09-23,100,-3638.0,0,0,16,25.0
2023-09-24,100,-3538.9,0,0,17,25.0
2023-09-25,100.0,-3388.2,3,0,16,25.0
2023-09-26,100,-3219.9,0,0,18,25.0
2023-09-27,100.0,-3529.6,1,0,16,25.0
2023-09-28,100.0,-3361.6,1,0,6,20.0
2023-09-29,100.0,-3268.8,1,0,6,15.0
2023-09-30,100,-3385.2,0,0,6,20.0
2023-10-01,100,-3462.7,0,0,8,20.0
2023-10-02,100.0,-3516.4,1,0,8,20.0
2023-10-03,100.0,-3681.6,1,0,16,25.0
2023-10-04,100.0,-3752.2,2,0,11,25.0
2023-10-05,100.0,-3803.2,1,0,27,25.0
2023-10-06,99.9,-3720.0,2,0,14,25.0
2023-10-07,100,-3698.1,0,0,16,25.0
2023-10-08,100,-3609.3,0,0,10,25.0
