fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-13738.9,1,2023-1-1-0-0-0-0-0.114538_,0,0,[],35.0
2023-01-02,100,-13699.8,0,[],0,0,[],35.0
2023-01-03,100,-13653.7,0,[],0,0,[],35.0
2023-01-04,100,-13605.6,0,[],0,0,[],35.0
2023-01-05,100,-13538.3,0,[],0,0,[],35.0
2023-01-06,100,-13473.9,0,[],0,2,2023-1-6-2-1-14-814538_2023-1-6-4-37-55-964538_,35.0
2023-01-07,100,-13491.8,0,[],0,1,2023-1-7-0-58-40-44538_,35.0
2023-01-08,100,-13554.3,0,[],0,2,2023-1-8-10-10-23-764538_2023-1-8-18-50-10-914538_,35.0
2023-01-09,100,-13599.4,0,[],0,0,[],35.0
2023-01-10,100,-13630.1,0,[],0,0,[],35.0
2023-01-11,100,-13581.6,0,[],0,1,2023-1-11-12-8-51-94538_,35.0
2023-01-12,100,-13410.3,0,[],0,2,2023-1-12-10-30-21-169538_2023-1-12-18-24-14-319538_,35.0
2023-01-13,100,-13210.0,0,[],0,0,[],35.0
2023-01-14,100,-13227.4,0,[],0,1,2023-1-14-22-21-52-59538_,35.0
2023-01-15,100,-13258.0,0,[],0,0,[],35.0
2023-01-16,100,-13288.8,0,[],0,0,[],35.0
2023-01-17,100,-13321.4,0,[],0,1,2023-1-17-2-26-40-699536_,35.0
2023-01-18,100,-13335.3,0,[],0,1,2023-1-18-12-12-56-109538_,35.0
2023-01-19,100,-13360.7,0,[],0,2,2023-1-19-10-30-54-764538_2023-1-19-23-48-0-364538_,35.0
2023-01-20,100,-13365.5,0,[],1,0,[],35.0
2023-01-21,100,-13363.4,0,[],0,0,[],35.0
2023-01-22,100,-13364.4,0,[],0,0,[],35.0
2023-01-23,100,-13371.1,0,[],0,0,[],35.0
2023-01-24,100,-13358.3,0,[],0,0,[],35.0
2023-01-25,100,-13345.4,0,[],2,0,[],35.0
