fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-11-07,0,-9,0,[],0,0,[],-9
2023-11-08,0,-9,0,[],0,0,[],-9
2023-11-09,0,-9,0,[],0,0,[],-9
2023-11-10,14.5,2102.7,1,2023-11-10-0-0-0-0-73833.08_,0,0,[],5.0
2023-11-11,100,-278.4,0,[],0,1,2023-11-11-11-20-44-620000_,5.0
2023-11-12,100.0,-105.3,3,2023-11-12-16-2-52-760000-13.27999997138977_2023-11-12-18-39-59-360000-4.119999885559082_2023-11-12-23-36-44-320000-3.2799999713897705_,0,0,[],5.0
2023-11-13,100.0,-382.8,2,2023-11-13-18-59-32-900000-13.259999752044678_2023-11-13-21-9-44-710000-2.180000066757202_,0,0,[],5.0
2023-11-14,100.0,-298.4,1,2023-11-14-12-2-2-790000-2.859999895095825_,0,0,[],5.0
2023-11-15,100.0,-437.5,2,2023-11-15-7-40-6-520000-4.119999885559082_2023-11-15-17-48-45-560000-2.380000114440918_,0,1,2023-11-15-11-52-22-500000_,15.0
2023-11-16,100.0,-459.3,1,2023-11-16-2-0-18-940000-4.120000123977661_,0,3,2023-11-16-3-20-30-870000_2023-11-16-5-1-41-220000_2023-11-16-23-52-12-220000_,15.0
2023-11-17,100.0,-325.4,4,2023-11-17-13-14-10-900000-16.84000015258789_2023-11-17-14-19-31-120000-10.240000009536743_2023-11-17-20-6-5-20000-2.0999999046325684_2023-11-17-22-44-26-630000-2.3999998569488525_,0,2,2023-11-17-9-30-36-670000_2023-11-17-11-37-0-220000_,15.0
2023-11-18,100.0,-98.0,1,2023-11-18-16-18-42-270000-6.779999732971191_,0,1,2023-11-18-1-1-30-920000_,15.0
2023-11-19,100.0,-228.4,2,2023-11-19-12-18-38-870000-4.579999923706055_2023-11-19-23-8-21-800000-2.06000018119812_,0,0,[],10.0
2023-11-20,99.9,-469.9,4,2023-11-20-0-0-0-0-2.37_2023-11-20-11-27-25-870000-8.459999799728394_2023-11-20-20-7-53-820000-10.720000267028809_2023-11-20-21-15-55-740000-28.979999780654907_,0,10,2023-11-20-16-52-0-740000_2023-11-20-16-52-50-740000_2023-11-20-16-59-52-990000_2023-11-20-19-16-1-390000_2023-11-20-19-19-58-740000_2023-11-20-19-20-48-940000_2023-11-20-20-11-0-900000_2023-11-20-21-24-41-730000_2023-11-20-21-25-42-30000_2023-11-20-21-28-43-830000_,20.0
2023-11-21,100.0,-424.6,2,2023-11-21-0-0-0-0-0.44_2023-11-21-14-44-47-910000-8.240000009536743_,0,6,2023-11-21-11-9-20-340000_2023-11-21-11-11-44-290000_2023-11-21-17-33-27-760000_2023-11-21-21-6-7-610000_2023-11-21-21-7-13-410000_2023-11-21-21-14-46-510000_,20.0
2023-11-22,100.0,-255.4,1,2023-11-22-22-53-42-490000-9.78000020980835_,0,3,2023-11-22-3-34-35-720000_2023-11-22-3-35-26-570000_2023-11-22-21-2-21-270000_,15.0
2023-11-23,100.0,-439.9,3,2023-11-23-0-0-0-0-2.35_2023-11-23-21-43-38-590000-4.259999752044678_2023-11-23-22-50-35-120000-8.72000002861023_,0,9,2023-11-23-11-59-17-550000_2023-11-23-12-48-36-100000_2023-11-23-13-17-14-350000_2023-11-23-13-30-15-800000_2023-11-23-13-31-15-300000_2023-11-23-15-9-49-850000_2023-11-23-15-11-18-400000_2023-11-23-21-26-42-650000_2023-11-23-21-27-32-850000_,20.0
2023-11-24,88.6,-661.4,2,2023-11-24-0-0-0-0-0.33_2023-11-24-21-15-16-660000-9883.34_,0,14,2023-11-24-1-3-15-280000_2023-11-24-1-4-5-330000_2023-11-24-1-4-56-30000_2023-11-24-3-36-56-280000_2023-11-24-3-49-35-130000_2023-11-24-3-50-40-880000_2023-11-24-3-58-35-230000_2023-11-24-4-0-44-280000_2023-11-24-4-2-16-630000_2023-11-24-12-24-7-830000_2023-11-24-12-41-9-580000_2023-11-24-12-42-48-180000_2023-11-24-12-59-54-980000_2023-11-24-21-9-43-630000_,25.0
2023-11-25,100.0,-245.6,1,2023-11-25-0-0-0-0-2.0_,0,19,2023-11-25-3-49-7-900000_2023-11-25-3-49-58-0_2023-11-25-3-59-27-700000_2023-11-25-4-1-29-250000_2023-11-25-4-2-50-450000_2023-11-25-7-11-30-500000_2023-11-25-13-23-50-100000_2023-11-25-14-10-3-350000_2023-11-25-14-11-29-0_2023-11-25-16-18-51-850000_2023-11-25-19-31-22-650000_2023-11-25-19-32-12-700000_2023-11-25-19-57-58-200000_2023-11-25-21-14-44-850000_2023-11-25-21-29-43-150000_2023-11-25-21-39-56-400000_2023-11-25-21-56-21-550000_2023-11-25-22-16-4-200000_2023-11-25-22-32-14-450000_,25.0
2023-11-26,100,-427.7,0,[],0,12,2023-11-26-12-58-22-590000_2023-11-26-13-2-45-990000_2023-11-26-13-3-55-240000_2023-11-26-17-26-51-840000_2023-11-26-21-8-54-690000_2023-11-26-21-9-51-490000_2023-11-26-21-30-21-240000_2023-11-26-21-31-19-840000_2023-11-26-22-29-2-190000_2023-11-26-22-33-33-290000_2023-11-26-23-6-6-940000_2023-11-26-23-6-58-90000_,25.0
2023-11-27,100.0,-458.2,1,2023-11-27-16-34-39-820000-12.000000238418579_,0,18,2023-11-27-1-55-10-560000_2023-11-27-1-56-1-260000_2023-11-27-3-3-47-760000_2023-11-27-3-19-57-60000_2023-11-27-4-39-46-460000_2023-11-27-4-51-0-160000_2023-11-27-6-45-17-110000_2023-11-27-6-46-15-660000_2023-11-27-6-48-15-560000_2023-11-27-6-49-5-810000_2023-11-27-8-23-11-410000_2023-11-27-20-7-56-80000_2023-11-27-20-8-46-330000_2023-11-27-21-52-53-680000_2023-11-27-21-53-45-80000_2023-11-27-22-47-26-480000_2023-11-27-22-56-6-630000_2023-11-27-23-1-57-80000_,25.0
