fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,134.2,1,2023-1-1-0-0-0-0-0.24_,0,0,[],50.0
2023-01-02,100,134.2,0,[],0,0,[],50.0
2023-01-03,100,134.2,0,[],0,0,[],50.0
2023-01-04,100,134.2,0,[],0,0,[],50.0
2023-01-05,100,134.5,0,[],0,0,[],50.0
2023-01-06,99.8,134.3,1,2023-1-6-6-6-39-510000-189.51999974250793_,0,0,[],50.0
2023-01-07,100,135.0,0,[],0,0,[],50.0
2023-01-08,100,135.5,0,[],0,0,[],50.0
2023-01-09,100,135.3,0,[],0,0,[],50.0
2023-01-10,100.0,135.0,1,2023-1-10-1-57-5-390000-16.480000019073486_,0,0,[],50.0
2023-01-11,100,163.9,0,[],0,0,[],40.0
2023-01-12,100,135.3,0,[],0,0,[],50.0
2023-01-13,100,135.3,0,[],0,0,[],50.0
2023-01-14,100,135.0,0,[],0,3,2023-1-14-19-46-5-300000_2023-1-14-19-56-30-850000_2023-1-14-20-0-38-300000_,50.0
2023-01-15,100,134.8,0,[],0,0,[],50.0
2023-01-16,100,134.9,0,[],0,0,[],50.0
2023-01-17,100,134.7,0,[],0,0,[],50.0
2023-01-18,99.9,134.5,1,2023-1-18-12-19-8-960000-65.91999983787537_,0,0,[],50.0
2023-01-19,100,134.6,0,[],0,0,[],50.0
2023-01-20,100.0,134.7,1,2023-1-20-16-28-49-740000-12.360000133514404_,0,0,[],50.0
2023-01-21,100,134.7,0,[],0,0,[],50.0
2023-01-22,100.0,134.5,1,2023-1-22-20-38-55-820000-12.360000133514404_,0,0,[],50.0
2023-01-23,100,134.7,0,[],0,0,[],50.0
2023-01-24,100,134.5,0,[],0,0,[],50.0
2023-01-25,100.0,134.5,2,2023-1-25-14-48-53-620000-16.480000257492065_2023-1-25-14-51-46-660000-8.240000009536743_,0,1,2023-1-25-21-32-33-160000_,50.0
2023-01-26,100,134.7,0,[],0,0,[],50.0
2023-01-27,100.0,134.3,1,2023-1-27-14-50-12-940000-16.480000019073486_,0,0,[],50.0
2023-01-28,100,134.7,0,[],0,0,[],50.0
2023-01-29,99.7,134.5,2,2023-1-29-4-53-10-580000-226.60000014305115_2023-1-29-13-14-22-460000-12.360000133514404_,0,0,[],50.0
2023-01-30,100.0,134.5,1,2023-1-30-16-42-1-860000-12.360000133514404_,0,0,[],50.0
