fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-10-20,0,-9,0,[],0,0,[],-9
2023-10-21,11.5,121.6,2,2023-10-21-0-0-0-0-76453.4_2023-10-21-21-57-3-370000-12.360000133514404_,0,3,2023-10-21-21-14-45-250000_2023-10-21-21-28-45-50000_2023-10-21-23-40-41-440000_,-9
2023-10-22,100,105.3,0,[],0,6,2023-10-22-0-16-3-130000_2023-10-22-12-17-15-380000_2023-10-22-14-11-21-480000_2023-10-22-16-54-27-530000_2023-10-22-20-48-12-630000_2023-10-22-22-29-35-530000_,-9
2023-10-22,100.0,105.3,1,2023-10-22-0-0-0-0-3.78_,0,6,2023-10-22-0-16-3-130000_2023-10-22-12-17-15-380000_2023-10-22-14-11-21-480000_2023-10-22-16-54-27-530000_2023-10-22-20-48-12-630000_2023-10-22-22-29-35-530000_,-9
2023-10-23,60.6,71.7,1,2023-10-23-14-33-18-610000-34001.39_,0,0,[],-9
2023-10-24,0,-9,0,[],0,0,[],-9
2023-10-25,0,-9,0,[],0,0,[],-9
2023-10-26,0,-9,0,[],0,0,[],-9
2023-10-27,0,-9,0,[],0,0,[],-9
2023-10-28,0,-9,0,[],0,0,[],-9
2023-10-29,0,-9,0,[],0,0,[],-9
2023-10-30,0,-9,0,[],0,0,[],-9
2023-10-31,0,-9,0,[],0,0,[],-9
2023-11-01,0,-9,0,[],0,0,[],-9
2023-11-02,0,-9,0,[],0,0,[],-9
2023-11-03,0,-9,0,[],0,0,[],-9
2023-11-04,0,-9,0,[],0,0,[],-9
2023-11-05,0,-9,0,[],0,0,[],-9
2023-11-06,0,-9,0,[],0,0,[],-9
2023-11-07,0,-9,0,[],0,0,[],-9
2023-11-08,0,-9,0,[],0,0,[],-9
2023-11-09,0,-9,0,[],0,0,[],-9
2023-11-10,0,-9,0,[],0,0,[],-9
2023-11-11,0,-9,0,[],0,0,[],-9
2023-11-12,0,-9,0,[],0,0,[],-9
2023-11-13,0,-9,0,[],0,0,[],-9
2023-11-14,0,-9,0,[],0,0,[],-9
2023-11-15,0,-9,0,[],0,0,[],-9
2023-11-16,0,-9,0,[],0,0,[],-9
2023-11-17,0,-9,0,[],0,0,[],-9
2023-11-18,0,-9,0,[],0,0,[],-9
2023-11-19,0,-9,0,[],0,0,[],-9
2023-11-20,0,-9,0,[],0,0,[],-9
2023-11-21,0,-9,0,[],0,0,[],-9
2023-11-22,0,-9,0,[],0,0,[],-9
2023-11-23,0,-9,0,[],0,0,[],-9
2023-11-24,0,-9,0,[],0,0,[],-9
2023-11-25,0,-9,0,[],0,0,[],-9
2023-11-26,0,-9,0,[],0,0,[],-9
2023-11-27,0,-9,0,[],0,0,[],-9
2023-11-28,0,-9,0,[],0,0,[],-9
2023-11-29,0,-9,0,[],0,0,[],-9
