fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,98.2,1261.1,9,2023-1-1-0-0-0-0-1.008393_2023-1-1-0-9-20-958393-378.9999997615814_2023-1-1-0-28-9-958393-3.0000009536743164_2023-1-1-3-36-40-958394-376.9999988079071_2023-1-1-3-59-10-958393-2.0000009536743164_2023-1-1-4-25-57-958394-377.9999988079071_2023-1-1-4-45-16-958393-2.0000009536743164_2023-1-1-20-56-50-958394-375.9999988079071_2023-1-1-21-15-16-958393-3.0000009536743164_,0,3,2023-1-1-10-47-2-218394_2023-1-1-20-28-41-618394_2023-1-1-22-9-3-318394_,0.0
2023-01-02,100,1358.4,0,[],0,8,2023-1-2-0-48-59-618393_2023-1-2-1-58-12-318393_2023-1-2-11-13-5-868393_2023-1-2-11-47-50-168393_2023-1-2-12-0-19-318393_2023-1-2-17-54-21-218393_2023-1-2-21-12-13-918393_2023-1-2-23-21-25-568393_,0.0
2023-01-03,100,1371.2,0,[],0,7,2023-1-3-11-42-11-148393_2023-1-3-15-8-41-998393_2023-1-3-16-19-39-148393_2023-1-3-18-8-6-498393_2023-1-3-19-4-1-948393_2023-1-3-22-17-53-148393_2023-1-3-22-35-51-398393_,0.0
2023-01-04,100,1360.5,0,[],0,4,2023-1-4-11-12-19-608393_2023-1-4-12-3-58-158393_2023-1-4-14-2-8-8393_2023-1-4-20-28-15-958393_,0.0
2023-01-05,100,1345.0,0,[],0,6,2023-1-5-0-9-2-858393_2023-1-5-14-25-33-808393_2023-1-5-18-20-57-308393_2023-1-5-19-15-16-508393_2023-1-5-20-9-33-458393_2023-1-5-23-2-29-58393_,0.0
2023-01-06,100,1333.4,0,[],0,7,2023-1-6-0-20-33-698393_2023-1-6-2-10-28-98393_2023-1-6-4-38-12-898393_2023-1-6-11-30-13-598393_2023-1-6-12-22-50-548393_2023-1-6-18-52-26-948393_2023-1-6-21-17-20-148393_,0.0
2023-01-07,100,1346.1,0,[],0,5,2023-1-7-11-13-6-108393_2023-1-7-11-54-10-558393_2023-1-7-13-42-11-308393_2023-1-7-14-58-1-8393_2023-1-7-22-36-1-258393_,0.0
2023-01-08,100,1367.1,0,[],0,6,2023-1-8-11-14-11-368393_2023-1-8-13-27-46-518393_2023-1-8-13-28-36-618393_2023-1-8-16-31-22-318393_2023-1-8-16-49-53-268393_2023-1-8-22-40-37-968393_,0.0
2023-01-09,100,1352.7,0,[],0,5,2023-1-9-0-45-50-48391_2023-1-9-3-23-4-748391_2023-1-9-5-0-23-398391_2023-1-9-10-15-35-498391_2023-1-9-18-7-37-498391_,0.0
2023-01-10,100,1360.8,0,[],0,5,2023-1-10-9-4-36-18394_2023-1-10-12-41-37-468394_2023-1-10-20-9-49-318394_2023-1-10-20-28-35-368394_2023-1-10-22-40-49-18394_,0.0
2023-01-11,100,1369.2,0,[],0,3,2023-1-11-7-55-59-908393_2023-1-11-11-38-55-858393_2023-1-11-18-57-9-858393_,0.0
2023-01-12,99.6,1364.0,2,2023-1-12-22-42-13-958393-376.9999997615814_2023-1-12-23-0-40-958393-2.0000009536743164_,0,2,2023-1-12-2-40-25-88393_2023-1-12-6-38-47-888393_,0.0
2023-01-13,99.1,1286.1,4,2023-1-13-11-51-14-958393-373.9999997615814_2023-1-13-12-10-15-958393-2.999999761581421_2023-1-13-21-25-56-958393-381.9999997615814_2023-1-13-21-44-16-958393-2.0000009536743164_,0,7,2023-1-13-0-16-51-188393_2023-1-13-5-59-27-438393_2023-1-13-6-0-6-288393_2023-1-13-11-36-45-438393_2023-1-13-13-6-26-718393_2023-1-13-19-43-36-468393_2023-1-13-22-52-8-818394_,0.0
2023-01-14,99.6,1287.3,2,2023-1-14-5-14-26-958393-382.9999997615814_2023-1-14-5-34-16-958393-3.0000009536743164_,0,10,2023-1-14-1-11-47-68393_2023-1-14-8-45-15-268394_2023-1-14-10-46-7-718394_2023-1-14-11-34-6-318394_2023-1-14-11-40-56-718394_2023-1-14-12-18-10-68394_2023-1-14-15-25-53-218394_2023-1-14-19-21-28-68394_2023-1-14-20-6-40-468394_2023-1-14-22-29-59-918394_,0.0
2023-01-15,98.7,1286.0,6,2023-1-15-15-26-50-958393-385.9999997615814_2023-1-15-15-45-46-958393-3.0000009536743164_2023-1-15-18-28-44-958394-377.9999988079071_2023-1-15-18-47-16-958393-3.0000009536743164_2023-1-15-21-21-45-958394-379.9999988079071_2023-1-15-21-40-15-958393-3.0000009536743164_,0,3,2023-1-15-4-0-39-208393_2023-1-15-4-35-50-208393_2023-1-15-15-47-28-568394_,0.0
2023-01-16,98.7,1255.7,6,2023-1-16-5-56-38-958393-377.9999997615814_2023-1-16-6-15-40-958393-2.0000009536743164_2023-1-16-9-19-27-958394-372.9999988079071_2023-1-16-9-38-16-958393-3.0000009536743164_2023-1-16-11-36-29-958394-376.9999988079071_2023-1-16-11-55-16-958393-3.0000009536743164_,0,10,2023-1-16-0-5-6-998393_2023-1-16-1-14-7-348393_2023-1-16-2-1-7-598393_2023-1-16-5-11-11-898393_2023-1-16-5-42-16-748393_2023-1-16-11-12-9-868394_2023-1-16-11-57-39-368394_2023-1-16-19-48-53-618394_2023-1-16-20-4-50-718394_2023-1-16-22-25-46-568394_,0.0
2023-01-17,98.1,1275.1,7,2023-1-17-0-24-41-958393-385.9999997615814_2023-1-17-0-43-15-958393-3.0000009536743164_2023-1-17-12-37-27-958394-373.9999988079071_2023-1-17-12-57-16-958393-3.0000009536743164_2023-1-17-14-25-17-958394-379.9999988079071_2023-1-17-14-35-21-958393-467.9999997615814_2023-1-17-14-55-40-958393-3.0000009536743164_,0,5,2023-1-17-1-1-4-218394_2023-1-17-11-33-9-18394_2023-1-17-18-55-31-318394_2023-1-17-19-41-12-568394_2023-1-17-20-56-30-518394_,0.0
2023-01-18,98.9,1265.5,5,2023-1-18-23-56-49-958394-190.041606_2023-1-18-1-35-47-958393-381.9999997615814_2023-1-18-1-55-15-958393-3.0000009536743164_2023-1-18-15-13-26-958394-385.9999988079071_2023-1-18-15-32-16-958393-2.0000009536743164_,0,12,2023-1-18-0-54-29-948393_2023-1-18-5-21-20-18394_2023-1-18-7-55-57-918394_2023-1-18-7-57-32-168394_2023-1-18-7-58-30-418394_2023-1-18-7-59-23-518394_2023-1-18-11-54-42-68394_2023-1-18-12-50-26-768394_2023-1-18-18-23-4-918394_2023-1-18-19-6-22-118394_2023-1-18-20-53-38-918394_2023-1-18-22-52-3-318394_,0.0
2023-01-19,99.8,1312.9,2,2023-1-19-0-0-0-0-189.968393_2023-1-19-0-16-30-958393-3.0000009536743164_,0,6,2023-1-19-1-47-50-568394_2023-1-19-11-15-47-368394_2023-1-19-17-51-6-68394_2023-1-19-19-23-45-368394_2023-1-19-21-7-23-968394_2023-1-19-22-46-45-418394_,0.0
2023-01-20,100,1315.0,0,[],1,12,2023-1-20-0-49-39-298393_2023-1-20-11-28-34-648393_2023-1-20-11-31-23-448393_2023-1-20-11-32-28-398393_2023-1-20-13-38-49-198393_2023-1-20-14-26-9-198393_2023-1-20-16-44-46-268393_2023-1-20-18-9-45-918393_2023-1-20-19-15-21-868393_2023-1-20-22-15-23-818393_2023-1-20-22-23-7-68393_2023-1-20-22-29-36-318393_,0.0
2023-01-21,100,1323.9,0,[],0,4,2023-1-21-2-16-18-218393_2023-1-21-9-7-33-568393_2023-1-21-17-56-39-518393_2023-1-21-18-9-26-768393_,0.0
2023-01-22,99.6,1239.2,2,2023-1-22-6-36-30-958393-380.9999997615814_2023-1-22-7-3-51-958393-2.999999761581421_,0,5,2023-1-22-0-23-21-388393_2023-1-22-2-31-44-988393_2023-1-22-11-18-25-668393_2023-1-22-16-26-46-968393_2023-1-22-18-15-10-368393_,0.0
2023-01-23,100,1220.2,0,[],0,3,2023-1-23-1-31-28-208393_2023-1-23-13-36-54-508393_2023-1-23-18-58-50-358393_,0.0
2023-01-24,99.6,1202.7,2,2023-1-24-23-1-13-958393-379.9999997615814_2023-1-24-23-19-39-958393-3.0000009536743164_,0,5,2023-1-24-0-2-57-738393_2023-1-24-0-15-54-988393_2023-1-24-11-12-54-288393_2023-1-24-12-1-5-538393_2023-1-24-18-42-43-738393_,0.0
2023-01-25,99.1,1303.9,4,2023-1-25-11-1-8-958393-374.9999997615814_2023-1-25-11-19-45-958393-3.0000009536743164_2023-1-25-16-4-52-958393-371.9999997615814_2023-1-25-16-27-11-958393-3.0000009536743164_,2,3,2023-1-25-16-35-32-118394_2023-1-25-20-55-31-518394_2023-1-25-21-2-35-318394_,0.0
2023-01-26,99.5,1226.1,2,2023-1-26-13-55-18-958393-386.9999997615814_2023-1-26-14-14-21-958393-3.0000009536743164_,0,4,2023-1-26-15-6-27-168394_2023-1-26-19-9-47-668394_2023-1-26-21-10-8-568394_2023-1-26-22-26-30-518394_,0.0
2023-01-27,99.6,1202.1,2,2023-1-27-13-41-36-958393-383.9999997615814_2023-1-27-14-0-16-958393-2.0000009536743164_,1,7,2023-1-27-0-4-45-498393_2023-1-27-4-35-11-448393_2023-1-27-11-44-57-898393_2023-1-27-16-1-44-218391_2023-1-27-18-11-19-218391_2023-1-27-18-58-38-368391_2023-1-27-21-57-5-268391_,0.0
2023-01-28,100,1194.9,0,[],0,7,2023-1-28-4-6-40-888393_2023-1-28-4-18-57-688393_2023-1-28-10-41-2-988393_2023-1-28-11-53-13-988393_2023-1-28-12-6-46-438393_2023-1-28-16-4-34-688393_2023-1-28-18-45-46-538393_,0.0
2023-01-29,98.7,1241.0,6,2023-1-29-13-40-52-958393-379.9999997615814_2023-1-29-13-59-21-958393-2.0000009536743164_2023-1-29-14-51-59-958394-385.9999988079071_2023-1-29-15-11-16-958393-1.999999761581421_2023-1-29-18-7-59-958393-377.9999997615814_2023-1-29-18-26-16-958393-3.0000009536743164_,0,4,2023-1-29-1-18-16-338393_2023-1-29-1-50-20-188393_2023-1-29-10-45-30-738393_2023-1-29-18-49-18-968394_,0.0
2023-01-30,99.6,1312.3,2,2023-1-30-1-6-35-958393-383.9999997615814_2023-1-30-1-24-45-958393-2.999999761581421_,1,6,2023-1-30-8-50-5-268393_2023-1-30-11-13-12-618393_2023-1-30-11-45-50-818393_2023-1-30-12-34-23-768393_2023-1-30-22-34-51-268393_2023-1-30-22-53-14-618393_,0.0
2023-01-31,98.3,1242.3,8,2023-1-31-4-32-14-958393-372.9999997615814_2023-1-31-4-50-16-958393-3.0000009536743164_2023-1-31-11-22-16-958394-377.9999988079071_2023-1-31-11-41-45-958393-3.0000009536743164_2023-1-31-13-36-29-958394-374.9999988079071_2023-1-31-13-55-16-958393-2.0000009536743164_2023-1-31-14-11-41-958394-373.9999988079071_2023-1-31-14-30-40-958393-2.0000009536743164_,0,6,2023-1-31-1-35-42-478393_2023-1-31-2-48-12-628393_2023-1-31-3-8-40-28393_2023-1-31-14-53-30-768394_2023-1-31-21-28-50-918394_2023-1-31-22-47-1-818394_,0.0
2023-02-01,99.6,1257.3,2,2023-2-1-19-30-43-958393-380.9999997615814_2023-2-1-19-49-16-958393-1.999999761581421_,0,8,2023-2-1-0-28-8-468393_2023-2-1-3-25-59-418393_2023-2-1-5-47-9-568393_2023-2-1-5-57-38-268393_2023-2-1-8-11-54-918393_2023-2-1-17-20-41-118393_2023-2-1-20-28-23-318393_2023-2-1-22-24-9-318393_,0.0
2023-02-02,100,1417.4,0,[],0,5,2023-2-2-10-56-50-978393_2023-2-2-13-57-31-928393_2023-2-2-16-45-48-878393_2023-2-2-22-20-29-878393_2023-2-2-23-53-53-78393_,0.0
2023-02-03,99.1,1319.3,4,2023-2-3-1-29-2-958393-383.9999997615814_2023-2-3-1-49-46-958393-3.0000009536743164_2023-2-3-19-42-33-958394-373.9999988079071_2023-2-3-20-1-40-958393-2.0000009536743164_,0,4,2023-2-3-0-20-21-358393_2023-2-3-11-42-57-168394_2023-2-3-12-39-50-818394_2023-2-3-20-58-57-168394_,0.0
2023-02-04,99.6,1453.8,2,2023-2-4-18-49-3-958393-383.9999997615814_2023-2-4-19-7-46-958393-2.000002861022949_,0,4,2023-2-4-0-12-23-638393_2023-2-4-3-25-51-38393_2023-2-4-11-15-19-188393_2023-2-4-17-35-41-638393_,0.0
2023-02-05,99.6,1277.0,2,2023-2-5-8-35-33-958393-375.9999997615814_2023-2-5-8-55-15-958393-3.0000009536743164_,0,2,2023-2-5-11-53-48-168394_2023-2-5-13-39-31-318394_,0.0
2023-02-06,99.6,1221.5,2,2023-2-6-19-46-51-958393-383.9999997615814_2023-2-6-20-5-16-958393-2.0000009536743164_,0,10,2023-2-6-1-51-36-128393_2023-2-6-1-52-26-528393_2023-2-6-1-53-44-228393_2023-2-6-1-56-6-478393_2023-2-6-1-57-40-628393_2023-2-6-2-9-57-878393_2023-2-6-11-16-40-728393_2023-2-6-11-17-42-328393_2023-2-6-11-21-4-978393_2023-2-6-22-46-58-968394_,5.0
2023-02-07,99.6,1387.7,2,2023-2-7-22-36-1-958393-381.9999997615814_2023-2-7-22-54-40-958393-2.0000009536743164_,1,5,2023-2-7-1-29-20-878393_2023-2-7-14-13-33-278393_2023-2-7-15-56-35-818393_2023-2-7-16-43-31-468393_2023-2-7-20-25-18-418393_,0.0
2023-02-08,99.1,1253.9,4,2023-2-8-5-57-13-958393-373.9999997615814_2023-2-8-6-17-16-958393-3.0000009536743164_2023-2-8-13-23-19-958394-372.9999988079071_2023-2-8-13-42-10-958393-2.999999761581421_,0,4,2023-2-8-11-37-52-118394_2023-2-8-16-4-18-18393_2023-2-8-18-24-16-368393_2023-2-8-22-38-34-668393_,0.0
2023-02-09,98.7,1268.6,6,2023-2-9-4-54-9-958393-378.9999997615814_2023-2-9-5-13-46-958393-2.0000009536743164_2023-2-9-19-7-24-958394-373.9999988079071_2023-2-9-19-25-39-958393-3.0000009536743164_2023-2-9-20-15-20-958394-376.9999988079071_2023-2-9-20-34-15-958393-3.0000009536743164_,0,3,2023-2-9-0-52-37-988393_2023-2-9-18-14-17-818394_2023-2-9-22-36-54-468394_,0.0
2023-02-10,99.6,1304.6,2,2023-2-10-12-13-10-958393-377.9999997615814_2023-2-10-12-32-16-958393-3.0000009536743164_,0,7,2023-2-10-0-12-48-618393_2023-2-10-9-47-12-318393_2023-2-10-9-48-2-618393_2023-2-10-11-35-12-318393_2023-2-10-12-34-12-518394_2023-2-10-16-45-43-518394_2023-2-10-19-30-7-318394_,0.0
2023-02-11,99.1,1259.4,4,2023-2-11-2-30-1-958393-371.9999997615814_2023-2-11-2-48-46-958393-2.000002861022949_2023-2-11-22-35-13-958396-378.9999969005585_2023-2-11-22-53-39-958393-3.0000009536743164_,0,5,2023-2-11-6-38-34-868396_2023-2-11-11-29-25-718396_2023-2-11-12-54-42-218396_2023-2-11-16-15-26-668396_2023-2-11-19-4-11-318396_,0.0
2023-02-12,99.6,1399.1,2,2023-2-12-22-1-39-958393-379.9999997615814_2023-2-12-22-20-16-958393-3.0000009536743164_,0,5,2023-2-12-2-4-37-278393_2023-2-12-2-17-39-378393_2023-2-12-9-42-12-228393_2023-2-12-16-33-52-578393_2023-2-12-22-43-49-18394_,0.0
2023-02-13,99.1,1273.2,4,2023-2-13-5-22-30-958393-381.9999997615814_2023-2-13-6-10-16-958393-2.0000009536743164_2023-2-13-16-39-4-958394-379.9999988079071_2023-2-13-16-57-46-958393-3.0000009536743164_,0,6,2023-2-13-9-35-48-818394_2023-2-13-11-45-16-518394_2023-2-13-11-57-38-168394_2023-2-13-15-38-14-918394_2023-2-13-15-39-5-618394_2023-2-13-19-11-36-368394_,0.0
2023-02-14,99.6,1253.4,2,2023-2-14-7-39-26-958393-380.9999997615814_2023-2-14-7-59-16-958393-1.999999761581421_,1,2,2023-2-14-9-28-20-168393_2023-2-14-11-40-18-18393_,0.0
2023-02-15,97.7,1247.6,11,2023-2-15-5-18-39-958393-384.9999997615814_2023-2-15-5-43-39-958393-2.999999761581421_2023-2-15-6-20-8-958393-385.9999997615814_2023-2-15-6-40-15-958393-3.0000009536743164_2023-2-15-8-0-41-958394-377.9999988079071_2023-2-15-8-19-46-958393-2.0000009536743164_2023-2-15-10-49-10-958394-379.9999988079071_2023-2-15-11-8-10-958393-1.999999761581421_2023-2-15-12-57-10-958393-372.9999997615814_2023-2-15-13-15-46-958393-2.0000009536743164_2023-2-15-21-4-8-958394-37.0_,2,5,2023-2-15-1-51-10-988393_2023-2-15-11-53-29-168393_2023-2-15-12-12-36-268393_2023-2-15-17-24-16-968393_2023-2-15-19-16-11-318393_,0.0
2023-02-16,100,1382.2,0,[],1,8,2023-2-16-0-53-7-718393_2023-2-16-6-54-50-868393_2023-2-16-6-58-17-18393_2023-2-16-6-59-33-618393_2023-2-16-11-16-11-518393_2023-2-16-12-53-30-318393_2023-2-16-23-27-22-218393_2023-2-16-23-54-19-68393_,0.0
2023-02-17,100,1395.5,0,[],0,8,2023-2-17-0-38-6-938393_2023-2-17-3-3-22-888393_2023-2-17-4-58-19-338393_2023-2-17-5-50-2-388393_2023-2-17-9-6-57-188393_2023-2-17-12-13-59-588393_2023-2-17-16-54-48-88393_2023-2-17-17-42-5-838393_,0.0
2023-02-18,100,1405.4,0,[],1,4,2023-2-18-3-17-8-38393_2023-2-18-10-46-2-988393_2023-2-18-11-14-0-738393_2023-2-18-23-42-8-268394_,0.0
2023-02-19,100,1395.2,0,[],1,4,2023-2-19-2-58-55-118393_2023-2-19-10-38-20-618393_2023-2-19-11-2-26-268393_2023-2-19-16-34-21-268393_,0.0
2023-02-20,100,1401.4,0,[],1,3,2023-2-20-2-7-53-208393_2023-2-20-5-18-14-258393_2023-2-20-16-55-20-458393_,0.0
2023-02-21,100,1419.1,0,[],0,4,2023-2-21-6-3-48-198393_2023-2-21-11-41-37-548393_2023-2-21-12-2-9-248393_2023-2-21-18-59-3-198393_,0.0
2023-02-22,99.6,1331.0,2,2023-2-22-8-39-29-958393-379.9999997615814_2023-2-22-8-58-46-958393-3.0000009536743164_,0,4,2023-2-22-0-54-51-748393_2023-2-22-14-8-27-918394_2023-2-22-19-4-45-118394_2023-2-22-19-39-57-818394_,0.0
2023-02-23,99.1,1277.7,4,2023-2-23-16-15-54-958393-379.9999997615814_2023-2-23-16-34-10-958393-3.0000009536743164_2023-2-23-19-3-2-958394-371.9999988079071_2023-2-23-19-21-16-958393-2.999999761581421_,0,11,2023-2-23-1-43-23-98393_2023-2-23-1-45-25-748393_2023-2-23-1-46-24-848393_2023-2-23-1-47-30-398393_2023-2-23-1-48-34-848393_2023-2-23-2-3-24-598393_2023-2-23-2-7-22-998393_2023-2-23-6-25-13-248393_2023-2-23-11-26-59-898393_2023-2-23-15-6-4-648393_2023-2-23-22-49-40-668393_,0.0
2023-02-24,100,1353.4,0,[],0,6,2023-2-24-11-47-10-538393_2023-2-24-13-30-42-38393_2023-2-24-17-39-12-738393_2023-2-24-21-48-0-638393_2023-2-24-22-35-6-238393_2023-2-24-23-27-49-138393_,0.0
2023-02-25,99.6,1348.6,2,2023-2-25-22-12-8-958393-383.9999997615814_2023-2-25-22-30-40-958393-3.0000009536743164_,1,4,2023-2-25-0-13-39-298393_2023-2-25-8-51-52-448393_2023-2-25-15-8-44-298393_2023-2-25-19-24-8-198393_,0.0
2023-02-26,98.7,1256.1,6,2023-2-26-5-22-29-958393-371.9999997615814_2023-2-26-5-41-39-958393-3.0000009536743164_2023-2-26-8-11-45-958394-386.9999988079071_2023-2-26-8-31-16-958393-2.0000009536743164_2023-2-26-12-8-59-958394-375.9999988079071_2023-2-26-12-27-46-958393-2.000002861022949_,1,6,2023-2-26-1-31-41-858393_2023-2-26-4-59-22-358393_2023-2-26-11-45-46-168394_2023-2-26-16-57-49-518396_2023-2-26-18-30-19-468394_2023-2-26-23-41-4-18394_,0.0
2023-02-27,97.8,1276.2,10,2023-2-27-0-40-13-958393-380.9999997615814_2023-2-27-0-59-16-958393-3.0000009536743164_2023-2-27-6-5-32-958394-378.9999988079071_2023-2-27-6-25-15-958393-3.0000009536743164_2023-2-27-8-8-32-958394-371.9999988079071_2023-2-27-8-27-45-958393-3.0000009536743164_2023-2-27-13-38-21-958394-382.9999988079071_2023-2-27-13-57-10-958393-1.999999761581421_2023-2-27-18-19-55-958393-374.9999997615814_2023-2-27-18-38-16-958393-1.999999761581421_,0,5,2023-2-27-1-18-22-68394_2023-2-27-3-6-54-118394_2023-2-27-11-13-18-718394_2023-2-27-11-39-6-168394_2023-2-27-17-13-34-468393_,0.0
2023-02-28,100,1394.3,0,[],0,5,2023-2-28-0-13-28-748393_2023-2-28-0-49-22-348393_2023-2-28-2-25-56-698393_2023-2-28-11-15-58-198393_2023-2-28-12-42-35-848393_,0.0
2023-03-01,100,1409.5,0,[],1,6,2023-3-1-0-51-38-358393_2023-3-1-6-1-17-908393_2023-3-1-11-12-2-308393_2023-3-1-12-19-9-958393_2023-3-1-13-51-16-508393_2023-3-1-22-24-32-468393_,0.0
2023-03-02,100,1411.9,0,[],1,7,2023-3-2-1-3-21-348393_2023-3-2-4-49-37-48393_2023-3-2-11-55-46-68393_2023-3-2-13-6-46-818393_2023-3-2-15-23-1-468393_2023-3-2-18-59-43-668393_2023-3-2-22-14-2-918393_,0.0
2023-03-03,100,1419.4,0,[],0,7,2023-3-3-2-6-44-608391_2023-3-3-9-43-1-708391_2023-3-3-11-47-29-958391_2023-3-3-12-4-1-108391_2023-3-3-14-49-45-458391_2023-3-3-22-26-57-758391_2023-3-3-23-50-46-408391_,0.0
2023-03-04,100,1423.3,0,[],0,9,2023-3-4-0-9-57-948391_2023-3-4-7-0-22-548391_2023-3-4-7-8-2-198391_2023-3-4-7-8-54-198391_2023-3-4-7-10-1-948391_2023-3-4-13-59-20-548391_2023-3-4-18-7-20-648391_2023-3-4-21-57-20-598391_2023-3-4-22-38-49-98391_,0.0
2023-03-05,100,1430.9,0,[],0,5,2023-3-5-11-17-8-438393_2023-3-5-11-39-30-288393_2023-3-5-11-47-51-288393_2023-3-5-18-7-6-638393_2023-3-5-20-36-46-138393_,0.0
2023-03-06,100,1428.0,0,[],0,4,2023-3-6-2-3-5-858393_2023-3-6-11-35-14-158393_2023-3-6-14-5-36-758393_2023-3-6-18-52-32-408393_,0.0
2023-03-07,100,1463.9,0,[],0,7,2023-3-7-4-1-7-248391_2023-3-7-11-33-30-248391_2023-3-7-14-36-0-598391_2023-3-7-14-47-3-148391_2023-3-7-20-44-42-98391_2023-3-7-22-15-42-998391_2023-3-7-22-20-23-298391_,0.0
2023-03-08,100,1470.5,0,[],0,3,2023-3-8-4-27-10-898393_2023-3-8-14-27-50-998393_2023-3-8-15-49-31-548393_,0.0
2023-03-09,100,1463.8,0,[],0,7,2023-3-9-0-43-58-218393_2023-3-9-11-58-2-218393_2023-3-9-14-10-47-268393_2023-3-9-17-42-52-168393_2023-3-9-21-50-44-618393_2023-3-9-22-30-27-618393_2023-3-9-23-42-58-468393_,0.0
2023-03-10,100,1463.7,0,[],0,7,2023-3-10-0-18-16-58393_2023-3-10-9-20-46-458393_2023-3-10-9-21-37-808393_2023-3-10-12-24-45-908393_2023-3-10-20-48-42-658393_2023-3-10-20-49-39-408393_2023-3-10-23-0-11-658393_,0.0
2023-03-11,100,1480.5,0,[],0,8,2023-3-11-0-41-3-138393_2023-3-11-10-43-57-938393_2023-3-11-11-26-34-938393_2023-3-11-12-45-43-388393_2023-3-11-14-37-18-388393_2023-3-11-21-13-10-588393_2023-3-11-21-14-9-288393_2023-3-11-22-12-33-588393_,0.0
2023-03-12,100,1492.6,0,[],0,6,2023-3-12-0-19-24-8393_2023-3-12-1-46-4-358393_2023-3-12-16-32-22-608393_2023-3-12-19-35-6-308393_2023-3-12-20-5-55-8393_2023-3-12-23-21-14-108393_,0.0
2023-03-13,100,1483.6,0,[],0,2,2023-3-13-11-45-12-728393_2023-3-13-12-6-44-178393_,0.0
2023-03-14,100,1487.4,0,[],0,5,2023-3-14-0-32-45-658393_2023-3-14-11-42-28-808393_2023-3-14-14-59-10-908393_2023-3-14-17-18-55-508393_2023-3-14-18-18-41-258393_,0.0
2023-03-15,100,1479.1,0,[],0,7,2023-3-15-0-15-5-408393_2023-3-15-11-37-13-508393_2023-3-15-12-48-24-458393_2023-3-15-12-54-2-8393_2023-3-15-19-24-40-958393_2023-3-15-21-51-10-208393_2023-3-15-22-22-48-8393_,0.0
2023-03-16,100,1499.2,0,[],0,8,2023-3-16-1-44-39-688393_2023-3-16-1-45-29-888393_2023-3-16-1-46-44-688393_2023-3-16-2-4-46-288393_2023-3-16-11-47-28-288393_2023-3-16-13-36-29-888393_2023-3-16-18-24-41-438393_2023-3-16-23-10-0-188393_,0.0
2023-03-17,99.1,1461.4,4,2023-3-17-18-41-28-958393-380.9999997615814_2023-3-17-19-0-16-958393-3.0000009536743164_2023-3-17-20-43-30-958394-372.9999988079071_2023-3-17-21-1-46-958393-3.0000009536743164_,0,5,2023-3-17-0-6-30-648393_2023-3-17-12-22-25-48393_2023-3-17-14-36-7-648393_2023-3-17-16-52-27-798393_2023-3-17-17-55-23-448393_,0.0
2023-03-18,98.7,1304.5,6,2023-3-18-8-46-22-958393-373.9999997615814_2023-3-18-9-7-41-958393-2.0000009536743164_2023-3-18-13-55-17-958394-383.9999988079071_2023-3-18-14-13-46-958393-3.0000009536743164_2023-3-18-16-22-35-958394-377.9999988079071_2023-3-18-16-41-40-958393-3.0000009536743164_,0,6,2023-3-18-0-40-34-138393_2023-3-18-17-15-46-518394_2023-3-18-17-16-37-818394_2023-3-18-19-6-40-468394_2023-3-18-20-52-42-68394_2023-3-18-23-8-10-568394_,0.0
2023-03-19,99.5,1259.9,2,2023-3-19-4-6-53-958393-385.9999997615814_2023-3-19-4-26-9-958393-2.999999761581421_,0,4,2023-3-19-7-49-44-118393_2023-3-19-10-37-3-468393_2023-3-19-15-21-50-968393_2023-3-19-20-48-49-468393_,0.0
2023-03-20,100,1235.7,0,[],0,4,2023-3-20-8-25-40-858393_2023-3-20-10-57-20-208393_2023-3-20-13-29-57-308393_2023-3-20-18-22-45-408393_,0.0
2023-03-21,98.2,1257.9,8,2023-3-21-5-16-14-958393-373.9999997615814_2023-3-21-5-35-40-958393-2.0000009536743164_2023-3-21-13-24-6-958394-372.9999988079071_2023-3-21-13-42-46-958393-2.0000009536743164_2023-3-21-20-21-32-958394-375.9999988079071_2023-3-21-20-39-46-958393-3.0000009536743164_2023-3-21-21-41-47-958394-382.9999988079071_2023-3-21-22-1-40-958393-3.0000009536743164_,0,6,2023-3-21-0-42-39-228393_2023-3-21-1-50-50-978393_2023-3-21-11-11-0-868394_2023-3-21-11-37-4-268394_2023-3-21-13-1-31-68394_2023-3-21-13-58-4-168394_,0.0
2023-03-22,100,1410.0,0,[],0,7,2023-3-22-1-12-49-408393_2023-3-22-3-21-2-108393_2023-3-22-11-32-29-808393_2023-3-22-12-25-4-108393_2023-3-22-16-14-19-408393_2023-3-22-16-17-15-758393_2023-3-22-22-21-21-408393_,0.0
2023-03-23,97.8,1292.3,9,2023-3-23-3-2-52-958393-383.9999997615814_2023-3-23-3-22-15-958393-3.0000009536743164_2023-3-23-11-10-59-958394-378.9999988079071_2023-3-23-11-26-57-958393-381.9999997615814_2023-3-23-11-46-9-958393-3.0000009536743164_2023-3-23-15-53-30-958394-382.9999988079071_2023-3-23-16-13-16-958393-1.999999761581421_2023-3-23-17-43-13-958393-373.9999997615814_2023-3-23-18-1-46-958393-1.999999761581421_,0,4,2023-3-23-12-46-45-918394_2023-3-23-15-41-26-668394_2023-3-23-21-23-44-18393_2023-3-23-22-59-57-668393_,0.0
