fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,5624.2,1,2023-1-1-0-0-0-0-1.738391_,0,0,[],35.0
2023-01-02,100,5685.8,0,[],0,0,[],35.0
2023-01-03,100,5683.3,0,[],0,1,2023-1-3-9-5-14-48393_,35.0
2023-01-04,100,5685.0,0,[],0,0,[],35.0
2023-01-05,100,5688.1,0,[],0,0,[],40.0
2023-01-06,100,5685.9,0,[],0,0,[],40.0
2023-01-07,100,5683.8,0,[],0,0,[],35.0
2023-01-08,100,5682.2,0,[],0,0,[],40.0
2023-01-09,100,5682.3,0,[],0,0,[],35.0
2023-01-10,100,5674.7,0,[],0,0,[],35.0
2023-01-11,100,5670.4,0,[],0,0,[],35.0
2023-01-12,100,5668.8,0,[],0,0,[],50.0
2023-01-13,100,5662.4,0,[],0,0,[],35.0
2023-01-14,100,5660.3,0,[],0,0,[],40.0
2023-01-15,100,5656.1,0,[],0,0,[],40.0
2023-01-16,100,5654.6,0,[],0,0,[],35.0
2023-01-17,100,5656.5,0,[],0,0,[],40.0
2023-01-18,100,5651.5,0,[],0,0,[],40.0
2023-01-19,100,5654.1,0,[],0,0,[],40.0
2023-01-20,100,5654.0,0,[],1,0,[],40.0
2023-01-21,100,5656.3,0,[],0,0,[],35.0
2023-01-22,100,5656.0,0,[],0,0,[],45.0
2023-01-23,100,5660.9,0,[],0,0,[],40.0
2023-01-24,100,5664.9,0,[],0,0,[],35.0
2023-01-25,100,5665.5,0,[],3,0,[],45.0
2023-01-26,100,5661.5,0,[],0,0,[],40.0
2023-01-27,100,5659.6,0,[],1,0,[],40.0
2023-01-28,100,5662.8,0,[],0,0,[],40.0
2023-01-29,100,5665.7,0,[],0,0,[],40.0
2023-01-30,100,5665.4,0,[],1,0,[],50.0
2023-01-31,100,5668.6,0,[],0,0,[],40.0
2023-02-01,100,5675.0,0,[],0,0,[],40.0
2023-02-02,100,5676.7,0,[],0,0,[],35.0
2023-02-03,100,5682.5,0,[],0,0,[],45.0
2023-02-04,100,5686.0,0,[],0,0,[],45.0
2023-02-05,100,5689.0,0,[],0,0,[],50.0
2023-02-06,100,5692.1,0,[],0,0,[],50.0
2023-02-07,100,5692.9,0,[],1,0,[],50.0
2023-02-08,100,5705.5,0,[],0,0,[],55.0
2023-02-09,100,5656.7,0,[],0,0,[],50.0
2023-02-10,100,5650.1,0,[],0,0,[],40.0
2023-02-11,100,5651.3,0,[],0,0,[],40.0
2023-02-12,100,5663.6,0,[],0,0,[],45.0
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,100.0,5669.5,1,2023-2-14-0-0-0-0-3.738393_,1,0,[],45.0
2023-02-15,81.2,5719.3,1,2023-2-15-19-28-42-958400-16277.0416_,1,0,[],35.0
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,0,-9,0,[],0,0,[],-9
2023-02-20,0,-9,0,[],0,0,[],-9
2023-02-21,0,-9,0,[],0,0,[],-9
2023-02-22,0,-9,0,[],0,0,[],-9
2023-02-23,0,-9,0,[],0,0,[],-9
2023-02-24,0,-9,0,[],0,0,[],-9
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,0,-9,0,[],0,0,[],-9
2023-03-02,0,-9,0,[],0,0,[],-9
2023-03-03,0,-9,0,[],0,0,[],-9
2023-03-04,0,-9,0,[],0,0,[],-9
2023-03-05,0,-9,0,[],0,0,[],-9
2023-03-06,0,-9,0,[],0,0,[],-9
2023-03-07,0,-9,0,[],0,0,[],-9
2023-03-08,0,-9,0,[],0,0,[],-9
2023-03-09,0,-9,0,[],0,0,[],-9
2023-03-10,0,-9,0,[],0,0,[],-9
2023-03-11,0,-9,0,[],0,0,[],-9
2023-03-12,0,-9,0,[],0,0,[],-9
2023-03-13,0,-9,0,[],0,0,[],-9
2023-03-14,0,-9,0,[],0,0,[],-9
2023-03-15,0,-9,0,[],0,0,[],-9
2023-03-16,0,-9,0,[],0,0,[],-9
2023-03-17,0,-9,0,[],0,0,[],-9
2023-03-18,0,-9,0,[],0,0,[],-9
2023-03-19,0,-9,0,[],0,0,[],-9
2023-03-20,0,-9,0,[],0,0,[],-9
2023-03-21,0,-9,0,[],0,0,[],-9
2023-03-22,0,-9,0,[],0,0,[],-9
2023-03-23,0,-9,0,[],0,0,[],-9
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
2023-03-26,0,-9,0,[],0,0,[],-9
2023-03-27,0,-9,0,[],0,0,[],-9
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,0,-9,0,[],0,0,[],-9
2023-03-30,0,-9,0,[],0,0,[],-9
2023-03-31,0,-9,0,[],0,0,[],-9
2023-04-01,0,-9,0,[],0,0,[],-9
2023-04-02,0,-9,0,[],0,0,[],-9
2023-04-03,0,-9,0,[],0,0,[],-9
2023-04-04,0,-9,0,[],0,0,[],-9
2023-04-05,0,-9,0,[],0,0,[],-9
2023-04-06,0,-9,0,[],0,0,[],-9
2023-04-07,0,-9,0,[],0,0,[],-9
2023-04-08,0,-9,0,[],0,0,[],-9
2023-04-09,0,-9,0,[],0,0,[],-9
2023-04-10,0,-9,0,[],0,0,[],-9
2023-04-11,25.6,7327.8,1,2023-4-11-0-0-0-0-64299.968397_,0,0,[],10.0
2023-04-12,81.0,7338.9,1,2023-4-12-18-42-23-958382-16400.000013828278_,0,0,[],35.0
2023-04-13,100,7254.8,0,[],0,0,[],20.0
2023-04-14,100,7252.7,0,[],0,2,2023-4-14-6-6-4-648391_2023-4-14-6-15-43-748391_,30.0
2023-04-15,100,7252.9,0,[],0,0,[],30.0
2023-04-16,83.9,3897.8,4,2023-4-16-13-34-22-958393-9228.000000953674_2023-4-16-16-19-15-958394-4652.000001907349_2023-4-16-20-16-9-958396-36.0_2023-4-16-21-22-48-958396-34.0_,0,2,2023-4-16-4-21-10-178393_2023-4-16-21-22-32-18396_,15.0
2023-04-17,100,-4519.4,0,[],3,5,2023-4-17-0-5-10-218393_2023-4-17-0-6-1-368393_2023-4-17-0-9-4-268393_2023-4-17-1-36-22-68393_2023-4-17-17-57-2-718393_,35.0
