fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,429.7,1,2023-1-1-0-0-0-0-1.488393_,0,3,2023-1-1-7-23-28-538393_2023-1-1-7-24-27-338393_2023-1-1-22-5-44-838393_,0.0
2023-01-02,100,438.7,0,[],0,3,2023-1-2-13-35-2-938393_2023-1-2-18-0-3-788393_2023-1-2-20-43-40-138393_,0.0
2023-01-03,100,472.5,0,[],0,7,2023-1-3-3-53-44-478393_2023-1-3-7-43-55-128393_2023-1-3-7-44-48-828393_2023-1-3-9-52-46-778393_2023-1-3-9-55-44-578393_2023-1-3-14-46-16-678393_2023-1-3-18-5-41-478393_,0.0
2023-01-04,100,390.8,0,[],0,8,2023-1-4-1-28-48-228393_2023-1-4-2-40-58-878393_2023-1-4-3-30-24-978393_2023-1-4-5-0-49-778393_2023-1-4-6-1-20-578393_2023-1-4-7-32-33-278393_2023-1-4-18-38-48-928393_2023-1-4-20-20-24-578393_,0.0
2023-01-05,100,410.7,0,[],0,4,2023-1-5-13-44-36-878393_2023-1-5-18-33-52-128393_2023-1-5-20-12-20-78393_2023-1-5-22-1-6-128393_,0.0
2023-01-06,100,422.9,0,[],0,3,2023-1-6-4-37-57-908393_2023-1-6-18-35-46-158393_2023-1-6-20-13-17-608393_,0.0
2023-01-07,100,427.5,0,[],0,5,2023-1-7-20-30-24-188393_2023-1-7-22-6-52-788393_2023-1-7-22-46-45-288393_2023-1-7-22-52-0-188393_2023-1-7-23-5-21-938393_,0.0
2023-01-08,100,506.1,0,[],0,7,2023-1-8-0-7-29-828393_2023-1-8-1-41-41-28393_2023-1-8-2-4-42-278393_2023-1-8-2-5-42-878393_2023-1-8-9-41-51-178393_2023-1-8-9-43-36-528393_2023-1-8-20-28-15-28393_,0.0
2023-01-09,100,434.2,0,[],0,8,2023-1-9-0-42-28-348393_2023-1-9-5-13-21-598393_2023-1-9-5-36-32-898393_2023-1-9-7-11-26-848393_2023-1-9-8-38-44-598393_2023-1-9-10-44-39-148393_2023-1-9-12-55-47-348393_2023-1-9-15-15-35-248393_,0.0
2023-01-10,100,444.2,0,[],0,6,2023-1-10-15-29-12-228393_2023-1-10-15-31-45-478393_2023-1-10-18-4-8-478393_2023-1-10-18-55-52-128393_2023-1-10-19-40-58-128393_2023-1-10-19-44-9-578393_,0.0
2023-01-11,100,326.3,0,[],0,7,2023-1-11-2-16-29-708393_2023-1-11-10-47-4-308393_2023-1-11-13-54-27-258393_2023-1-11-13-57-4-858393_2023-1-11-15-25-5-408393_2023-1-11-21-13-43-708393_2023-1-11-22-5-32-708393_,0.0
2023-01-12,100,254.5,0,[],0,3,2023-1-12-2-55-34-668393_2023-1-12-7-0-50-618393_2023-1-12-17-47-1-668393_,20.0
2023-01-13,100,352.2,0,[],0,9,2023-1-13-0-11-30-68393_2023-1-13-2-31-39-518393_2023-1-13-4-17-54-18393_2023-1-13-7-23-3-468393_2023-1-13-9-50-53-618393_2023-1-13-13-43-59-818393_2023-1-13-13-46-42-218393_2023-1-13-16-42-55-218393_2023-1-13-22-57-0-18393_,10.0
2023-01-14,100,404.9,0,[],0,3,2023-1-14-2-19-31-208393_2023-1-14-4-32-56-508393_2023-1-14-18-10-49-608393_,0.0
2023-01-15,100,433.8,0,[],0,7,2023-1-15-4-4-35-338394_2023-1-15-10-56-40-588394_2023-1-15-11-4-52-338394_2023-1-15-13-22-20-838394_2023-1-15-13-29-44-338394_2023-1-15-18-28-17-38394_2023-1-15-20-40-28-438394_,0.0
2023-01-16,100,446.7,0,[],0,7,2023-1-16-0-4-26-588393_2023-1-16-2-14-29-888393_2023-1-16-13-57-29-38393_2023-1-16-15-37-24-488393_2023-1-16-15-55-43-488393_2023-1-16-20-46-5-438393_2023-1-16-22-44-8-838393_,0.0
2023-01-17,100,449.0,0,[],0,3,2023-1-17-17-59-34-678393_2023-1-17-18-36-18-628393_2023-1-17-22-1-13-228393_,0.0
