fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,9,[],9,9,[],-9
2023-01-02,0,-9,9,[],9,9,[],-9
2023-01-03,0,-9,9,[],9,9,[],-9
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
2023-01-11,0,-9,9,[],9,9,[],-9
2023-01-12,0,-9,9,[],9,9,[],-9
2023-01-13,0,-9,9,[],9,9,[],-9
2023-01-14,19.9,1034.0,6,2023-1-14-0-0-0-0-47623.984538_2023-1-14-22-12-16-979538-6463.020462_2023-1-14-17-54-38-979538-14112.0_2023-1-14-21-50-59-979538-280.0_2023-1-14-21-56-57-979538-314.0_2023-1-14-22-3-26-979538-404.0_,0,0,[],35.0
2023-01-15,33.1,576.5,5,2023-1-15-0-0-0-0-44106.984538_2023-1-15-21-6-56-979538-10383.020462_2023-1-15-12-30-59-979538-995.0_2023-1-15-13-11-32-979538-1033.0_2023-1-15-13-29-24-979538-1324.0_,0,0,[],45.0
2023-01-16,32.5,202.3,6,2023-1-16-0-0-0-0-2965.984538_2023-1-16-20-9-51-979538-13808.020462_2023-1-16-0-51-46-979538-39406.0_2023-1-16-11-51-7-979538-930.0_2023-1-16-12-6-51-979538-774.0_2023-1-16-12-21-47-979538-471.0_,0,0,[],35.0
2023-01-17,20.9,-194.4,19,2023-1-17-0-0-0-0-1523.984538_2023-1-17-0-26-19-979538-1405.0_2023-1-17-0-53-18-979538-1788.0_2023-1-17-1-24-24-979538-44615.0_2023-1-17-13-50-44-979538-1436.0_2023-1-17-14-15-24-979538-1779.0_2023-1-17-14-46-35-979538-1685.0_2023-1-17-15-15-48-979538-470.0_2023-1-17-15-25-47-979538-1001.0_2023-1-17-15-43-39-979538-2566.0_2023-1-17-16-27-6-979538-2536.0_2023-1-17-17-10-8-979538-1151.0_2023-1-17-17-29-55-979538-2233.0_2023-1-17-18-15-34-979538-1561.0_2023-1-17-18-43-40-979538-916.0_2023-1-17-18-59-50-979538-626.0_2023-1-17-19-10-30-979538-368.0_2023-1-17-19-17-22-979538-354.0_2023-1-17-19-24-21-979538-338.0_,0,0,[],35.0
2023-01-18,0,-9,9,[],9,9,[],-9
2023-01-19,0,-9,9,[],9,9,[],-9
2023-01-20,0,-9,9,[],9,9,[],-9
2023-01-21,0,-9,9,[],9,9,[],-9
2023-01-22,0,-9,9,[],9,9,[],-9
2023-01-23,0,-9,9,[],9,9,[],-9
2023-01-24,0,-9,9,[],9,9,[],-9
2023-01-25,0,-9,9,[],9,9,[],-9
2023-01-26,0,-9,9,[],9,9,[],-9
2023-01-27,0,-9,9,[],9,9,[],-9
2023-01-28,0,-9,9,[],9,9,[],-9
2023-01-29,0,-9,9,[],9,9,[],-9
2023-01-30,0,-9,9,[],9,9,[],-9
2023-01-31,0,-9,9,[],9,9,[],-9
2023-02-01,0,-9,9,[],9,9,[],-9
2023-02-02,0,-9,9,[],9,9,[],-9
2023-02-03,0,-9,9,[],9,9,[],-9
2023-02-04,0,-9,9,[],9,9,[],-9
2023-02-05,0,-9,9,[],9,9,[],-9
2023-02-06,0,-9,9,[],9,9,[],-9
2023-02-07,0,-9,9,[],9,9,[],-9
2023-02-08,0,-9,9,[],9,9,[],-9
2023-02-09,0,-9,9,[],9,9,[],-9
2023-02-10,0,-9,9,[],9,9,[],-9
2023-02-11,0,-9,9,[],9,9,[],-9
2023-02-12,0,-9,9,[],9,9,[],-9
2023-02-13,0,-9,9,[],9,9,[],-9
2023-02-14,0,-9,9,[],9,9,[],-9
2023-02-15,0,-9,9,[],9,9,[],-9
2023-02-16,0,-9,9,[],9,9,[],-9
2023-02-17,0,-9,9,[],9,9,[],-9
2023-02-18,0,-9,9,[],9,9,[],-9
2023-02-19,0,-9,9,[],9,9,[],-9
