fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,728.7,1,2023-1-1-0-0-0-0-1.348393_,0,7,2023-1-1-4-22-48-748393_2023-1-1-11-48-58-48393_2023-1-1-13-17-40-98393_2023-1-1-13-18-34-48393_2023-1-1-16-5-30-898393_2023-1-1-16-6-21-148393_2023-1-1-17-17-15-398393_,0.0
2023-01-02,100,779.5,0,[],0,9,2023-1-2-5-39-39-208393_2023-1-2-5-40-29-608393_2023-1-2-5-41-19-908393_2023-1-2-9-0-7-108393_2023-1-2-11-38-25-508393_2023-1-2-14-35-44-508393_2023-1-2-18-12-35-858393_2023-1-2-18-13-57-258393_2023-1-2-21-4-48-358393_,0.0
2023-01-03,100,821.9,0,[],0,5,2023-1-3-13-29-42-68393_2023-1-3-15-29-28-818393_2023-1-3-16-32-3-468393_2023-1-3-16-32-56-768393_2023-1-3-20-49-41-868393_,0.0
2023-01-04,100,732.0,0,[],0,6,2023-1-4-13-55-9-308393_2023-1-4-14-3-53-458393_2023-1-4-14-4-44-808393_2023-1-4-15-28-20-858393_2023-1-4-15-38-2-258393_2023-1-4-20-44-4-608393_,0.0
2023-01-05,100,636.4,0,[],0,3,2023-1-5-11-6-15-168393_2023-1-5-14-36-27-518393_2023-1-5-17-59-59-418393_,0.0
2023-01-06,100,789.0,0,[],0,19,2023-1-6-0-37-38-478394_2023-1-6-0-38-33-878394_2023-1-6-0-41-47-228394_2023-1-6-2-0-25-78394_2023-1-6-5-5-20-878394_2023-1-6-5-6-56-78394_2023-1-6-7-15-23-128394_2023-1-6-7-54-48-678394_2023-1-6-8-19-40-128394_2023-1-6-8-23-11-628394_2023-1-6-8-37-6-878394_2023-1-6-8-48-0-28394_2023-1-6-11-11-36-378394_2023-1-6-11-47-30-728394_2023-1-6-11-51-1-728394_2023-1-6-12-12-29-378394_2023-1-6-12-13-20-128394_2023-1-6-15-42-42-178394_2023-1-6-17-50-46-678394_,25.0
2023-01-07,100,859.7,0,[],0,24,2023-1-7-2-50-0-748393_2023-1-7-3-13-11-148393_2023-1-7-3-14-27-948393_2023-1-7-4-5-48-598393_2023-1-7-4-6-39-648393_2023-1-7-4-12-45-248393_2023-1-7-8-45-40-798393_2023-1-7-9-44-42-248393_2023-1-7-10-39-9-348393_2023-1-7-11-25-16-948393_2023-1-7-11-27-31-448393_2023-1-7-12-2-2-948393_2023-1-7-12-3-38-498393_2023-1-7-12-5-44-48393_2023-1-7-12-33-55-48393_2023-1-7-12-34-45-98393_2023-1-7-13-2-17-648393_2023-1-7-17-55-43-248393_2023-1-7-18-19-0-598393_2023-1-7-18-19-51-248393_2023-1-7-21-23-16-198393_2023-1-7-21-24-6-648393_2023-1-7-22-23-29-98393_2023-1-7-22-24-20-948393_,25.0
2023-01-08,100,875.8,0,[],0,19,2023-1-8-3-43-40-288393_2023-1-8-3-44-32-438393_2023-1-8-3-59-36-788393_2023-1-8-4-55-9-638393_2023-1-8-4-56-0-938393_2023-1-8-6-32-38-38393_2023-1-8-9-33-4-188393_2023-1-8-9-34-2-588393_2023-1-8-11-36-6-88393_2023-1-8-11-36-57-438393_2023-1-8-12-38-44-438393_2023-1-8-13-9-53-138393_2023-1-8-14-0-42-38393_2023-1-8-14-25-48-138393_2023-1-8-16-30-12-238393_2023-1-8-16-31-4-438393_2023-1-8-19-13-7-988393_2023-1-8-19-13-58-38393_2023-1-8-23-16-1-588393_,25.0
2023-01-09,100,881.5,0,[],0,7,2023-1-9-18-32-44-848393_2023-1-9-20-10-9-848393_2023-1-9-23-24-3-548393_2023-1-9-23-24-53-848393_2023-1-9-23-25-44-48393_2023-1-9-23-37-18-898393_2023-1-9-23-38-9-98393_,0.0
2023-01-10,100,690.2,0,[],0,23,2023-1-10-1-20-3-388393_2023-1-10-1-20-55-788393_2023-1-10-1-23-38-38393_2023-1-10-3-47-6-588393_2023-1-10-3-47-59-438393_2023-1-10-4-29-26-438393_2023-1-10-5-46-21-688393_2023-1-10-5-47-15-388393_2023-1-10-6-40-11-638393_2023-1-10-8-1-0-988393_2023-1-10-9-25-5-588393_2023-1-10-9-26-59-538393_2023-1-10-9-44-23-388393_2023-1-10-10-37-26-488393_2023-1-10-11-25-32-638393_2023-1-10-11-29-52-988393_2023-1-10-12-19-14-938393_2023-1-10-12-24-1-838393_2023-1-10-12-39-44-388393_2023-1-10-15-3-52-238393_2023-1-10-16-28-4-488393_2023-1-10-16-39-39-238393_2023-1-10-16-40-29-338393_,25.0
2023-01-11,100,802.0,0,[],0,2,2023-1-11-1-46-18-28391_2023-1-11-20-40-13-828391_,0.0
