fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-28938.1,1,2023-1-1-0-0-0-0-1.474538_,0,0,[],35.0
2023-01-02,100,-28892.6,0,[],0,0,[],35.0
2023-01-03,100,-28872.4,0,[],0,0,[],35.0
2023-01-04,100,-28823.3,0,[],0,0,[],35.0
2023-01-05,100,-28721.8,0,[],0,0,[],35.0
2023-01-06,100,-28679.8,0,[],0,0,[],35.0
2023-01-07,100,-28788.4,0,[],0,0,[],35.0
2023-01-08,98.8,-28819.1,3,2023-1-8-5-21-38-979538-337.00000071525574_2023-1-8-13-2-24-979539-334.9999990463257_2023-1-8-13-27-28-979538-337.0_,0,0,[],35.0
2023-01-09,100,-28874.3,0,[],0,0,[],40.0
2023-01-10,100,-28778.6,0,[],0,0,[],35.0
2023-01-11,99.6,-28562.1,1,2023-1-11-4-53-34-979538-331.0_,0,0,[],35.0
2023-01-12,100,-28239.7,0,[],0,0,[],35.0
2023-01-13,100,-28083.6,0,[],0,0,[],35.0
2023-01-14,100,-28010.3,0,[],0,0,[],35.0
2023-01-15,100,-28027.2,0,[],0,0,[],35.0
2023-01-16,100,-27893.6,0,[],0,0,[],35.0
2023-01-17,100,-27752.9,0,[],0,0,[],35.0
2023-01-18,100,-27682.6,0,[],0,0,[],35.0
2023-01-19,99.6,-27684.1,1,2023-1-19-23-28-26-979538-333.0_,0,0,[],35.0
2023-01-20,100,-27540.2,0,[],1,0,[],40.0
2023-01-21,100,-27400.5,0,[],0,0,[],35.0
2023-01-22,100,-27376.1,0,[],0,0,[],35.0
2023-01-23,100,-27341.6,0,[],0,0,[],35.0
2023-01-24,100,-27533.0,0,[],0,0,[],40.0
2023-01-25,100,-27723.0,0,[],2,0,[],35.0
2023-01-26,99.2,-27794.7,2,2023-1-26-1-44-50-979538-338.0_2023-1-26-22-35-28-979538-331.0_,0,0,[],35.0
2023-01-27,100,-27646.7,0,[],1,0,[],35.0
2023-01-28,99.6,-27791.9,1,2023-1-28-5-20-52-979538-327.0_,0,0,[],35.0
2023-01-29,100,-27799.1,0,[],0,0,[],35.0
2023-01-30,99.6,-27804.1,1,2023-1-30-10-30-19-979539-327.9999990463257_,1,0,[],35.0
2023-01-31,100,-27928.4,0,[],0,0,[],35.0
2023-02-01,100,-28020.7,0,[],0,0,[],35.0
2023-02-02,100,-28112.9,0,[],0,0,[],35.0
2023-02-03,100,-28206.5,0,[],0,0,[],35.0
2023-02-04,99.6,-28354.9,1,2023-2-4-22-46-12-979538-360.0_,0,0,[],40.0
2023-02-05,100,-28290.4,0,[],0,0,[],40.0
2023-02-06,100,-28518.0,0,[],0,0,[],40.0
2023-02-07,100,-28694.3,0,[],1,0,[],35.0
2023-02-08,100,-28804.6,0,[],0,0,[],40.0
2023-02-09,100,-28889.2,0,[],0,0,[],40.0
2023-02-10,100,-28965.5,0,[],0,0,[],40.0
2023-02-11,100,-29073.9,0,[],0,0,[],40.0
2023-02-12,100,-29212.7,0,[],0,0,[],40.0
2023-02-13,100,-29381.9,0,[],0,0,[],40.0
2023-02-14,100,-29549.5,0,[],1,0,[],40.0
2023-02-15,100,-29693.7,0,[],2,1,2023-2-15-13-5-43-814539_,40.0
2023-02-16,100,-29808.0,0,[],1,0,[],40.0
2023-02-17,100,-29873.4,0,[],0,0,[],35.0
2023-02-18,100,-29923.4,0,[],1,0,[],40.0
2023-02-19,100,-29941.8,0,[],1,0,[],40.0
2023-02-20,100,-29988.7,0,[],1,0,[],40.0
2023-02-21,100,-30094.3,0,[],0,0,[],40.0
2023-02-22,99.2,-30271.2,2,2023-2-22-10-56-12-979538-330.0_2023-2-22-19-48-11-979538-335.0_,0,0,[],40.0
2023-02-23,99.2,-30452.2,2,2023-2-23-8-48-46-979538-333.0_2023-2-23-9-49-43-979538-327.0_,0,0,[],40.0
2023-02-24,99.6,-30645.1,1,2023-2-24-5-42-3-979538-342.0_,0,0,[],40.0
2023-02-25,99.6,-30559.5,1,2023-2-25-0-13-48-979539-329.9999990463257_,1,0,[],40.0
2023-02-26,99.2,-30821.9,2,2023-2-26-5-50-3-979538-336.0_2023-2-26-11-44-2-979538-333.0_,1,0,[],40.0
2023-02-27,99.2,-30972.5,2,2023-2-27-13-9-38-979538-331.0_2023-2-27-18-52-39-979538-338.00000071525574_,0,0,[],40.0
2023-02-28,99.9,-30917.8,1,2023-2-28-23-58-14-979538-105.020462_,0,0,[],40.0
2023-03-01,99.3,-31278.5,2,2023-3-1-0-0-0-0-225.984538_2023-3-1-6-45-8-979538-339.0_,1,0,[],40.0
2023-03-02,99.6,-31459.2,1,2023-3-2-21-31-45-979538-342.0_,1,0,[],40.0
2023-03-03,100,-31382.8,0,[],0,0,[],40.0
2023-03-04,100,-31593.5,0,[],0,0,[],40.0
2023-03-05,99.6,-31909.1,1,2023-3-5-2-19-35-979539-327.9999990463257_,0,0,[],40.0
2023-03-06,99.6,-31879.4,1,2023-3-6-19-13-56-979538-334.0_,0,0,[],40.0
2023-03-07,100,-31705.1,0,[],0,0,[],40.0
2023-03-08,100,-31688.9,0,[],0,0,[],35.0
2023-03-09,100,-31162.7,0,[],0,0,[],35.0
2023-03-10,100,-30671.0,0,[],0,1,2023-3-10-9-20-28-664538_,35.0
2023-03-11,100,-30398.2,0,[],0,0,[],35.0
2023-03-12,100,-30186.4,0,[],0,0,[],35.0
2023-03-13,100,-30078.1,0,[],0,0,[],35.0
2023-03-14,100,-30002.5,0,[],0,0,[],35.0
2023-03-15,100,-29898.2,0,[],0,0,[],35.0
2023-03-16,100,-29816.1,0,[],0,0,[],35.0
2023-03-17,100,-29491.9,0,[],0,1,2023-3-17-21-47-38-634536_,35.0
2023-03-18,100,-29386.4,0,[],0,1,2023-3-18-17-20-47-879538_,40.0
2023-03-19,100,-29282.8,0,[],0,0,[],35.0
2023-03-20,100,-29275.7,0,[],0,0,[],35.0
2023-03-21,99.6,-29274.2,1,2023-3-21-21-29-38-979538-331.0_,0,0,[],40.0
2023-03-22,100,-29301.5,0,[],0,0,[],40.0
2023-03-23,100,-29264.5,0,[],0,0,[],40.0
2023-03-24,99.6,-29351.1,1,2023-3-24-12-0-16-979538-336.0_,0,0,[],40.0
2023-03-25,100,-29818.9,0,[],0,0,[],40.0
2023-03-26,100,-30084.8,0,[],0,0,[],40.0
2023-03-27,100,-30347.6,0,[],1,0,[],40.0
2023-03-28,100,-30603.4,0,[],2,0,[],40.0
2023-03-29,100,-30841.0,0,[],1,0,[],40.0
2023-03-30,99.6,-30979.6,1,2023-3-30-12-40-48-979538-333.0_,2,1,2023-3-30-8-26-3-139538_,40.0
