fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-10746.6,1,2023-1-1-0-0-0-0-0.16_,0,0,[],-9
2023-01-02,100.0,-10645.9,1,2023-1-2-10-0-47-990000-20.0_,0,0,[],-9
2023-01-03,100,-10649.6,0,[],0,1,2023-1-3-18-30-9-340000_,-9
2023-01-04,100,-10677.4,0,[],0,0,[],-9
2023-01-05,100,-10707.5,0,[],0,2,2023-1-5-15-32-10-580000_2023-1-5-15-36-33-880000_,-9
2023-01-06,100,-10778.0,0,[],0,2,2023-1-6-2-1-19-750000_2023-1-6-4-39-24-950000_,-9
2023-01-07,100,-10859.7,0,[],0,1,2023-1-7-10-31-36-640000_,-9
2023-01-08,100,-10716.2,0,[],0,0,[],-9
2023-01-09,84.4,-10577.0,17,2023-1-9-17-19-52-990000-362.0_2023-1-9-18-24-29-990000-1023.0_2023-1-9-18-41-47-990000-738.0_2023-1-9-18-55-10-990000-1073.0_2023-1-9-19-13-48-990000-32.0_2023-1-9-19-14-25-990000-958.0_2023-1-9-19-30-33-990000-1056.0_2023-1-9-19-51-9-990000-869.0_2023-1-9-20-7-8-990000-875.0_2023-1-9-20-22-37-990000-895.0_2023-1-9-20-39-56-990000-908.0_2023-1-9-20-59-49-990000-782.0_2023-1-9-21-22-8-990000-434.0_2023-1-9-21-56-58-990000-457.0_2023-1-9-22-9-22-990000-852.0_2023-1-9-22-25-18-990000-1305.0_2023-1-9-22-49-28-990000-871.0_,0,2,2023-1-9-0-24-7-200000_2023-1-9-18-7-52-900000_,-9
2023-01-10,46.3,-10833.7,64,2023-1-10-0-52-3-989999-897.0000009536743_2023-1-10-1-7-30-990000-459.0_2023-1-10-1-18-7-990000-277.0_2023-1-10-1-22-49-990000-189.0_2023-1-10-1-54-42-990000-450.0_2023-1-10-2-3-12-990000-360.0_2023-1-10-2-20-17-990000-931.0_2023-1-10-2-47-33-990000-916.0_2023-1-10-3-3-44-990000-474.0_2023-1-10-3-14-2-990000-931.0_2023-1-10-3-30-3-990000-1195.0_2023-1-10-3-50-48-990000-66.0_2023-1-10-3-51-59-990000-748.0_2023-1-10-4-5-12-990000-1181.0_2023-1-10-4-24-58-990000-911.0_2023-1-10-5-17-13-990000-465.0_2023-1-10-5-49-18-990000-935.0_2023-1-10-6-6-53-990000-461.0_2023-1-10-7-56-53-990000-900.0_2023-1-10-8-22-49-990000-63.0_2023-1-10-8-28-49-990000-663.0_2023-1-10-8-44-3-990000-789.0_2023-1-10-8-58-27-990000-910.0_2023-1-10-9-15-22-990000-906.0_2023-1-10-9-32-12-990000-956.0_2023-1-10-9-48-58-990000-281.0_2023-1-10-9-53-44-990000-678.0_2023-1-10-10-5-52-990000-1377.0_2023-1-10-10-28-59-990000-951.0_2023-1-10-10-45-40-990000-57.0_2023-1-10-10-46-42-990000-881.0_2023-1-10-11-6-12-990000-937.0_2023-1-10-11-21-54-990000-63.0_2023-1-10-11-23-2-990000-870.0_2023-1-10-11-40-3-990000-936.0_2023-1-10-12-2-42-990000-57.0_2023-1-10-12-5-50-990000-489.0_2023-1-10-12-14-19-990000-113.0_2023-1-10-12-16-17-990000-727.0_2023-1-10-12-52-30-990000-673.0_2023-1-10-13-8-38-990000-456.0_2023-1-10-13-49-39-990000-728.0_2023-1-10-14-6-10-990000-925.0_2023-1-10-14-22-35-990000-1159.0_2023-1-10-14-44-19-990000-353.0_2023-1-10-14-50-27-990000-248.0_2023-1-10-14-54-45-990000-832.0_2023-1-10-15-9-26-990000-550.0_2023-1-10-15-21-26-990000-1069.0_2023-1-10-15-40-10-990000-1105.0_2023-1-10-15-59-0-990000-705.0_2023-1-10-16-10-50-990000-1102.0_2023-1-10-16-32-22-990000-1062.0_2023-1-10-17-2-47-990000-1096.0_2023-1-10-17-24-4-990000-750.0_2023-1-10-17-37-51-990000-1139.0_2023-1-10-17-57-35-990000-1113.0_2023-1-10-18-16-33-990000-1098.0_2023-1-10-18-37-26-990000-1075.0_2023-1-10-18-56-21-990000-68.0_2023-1-10-18-57-34-990000-1003.0_2023-1-10-19-14-42-990000-366.0_2023-1-10-19-25-53-990000-2026.0_2023-1-10-21-37-33-990000-240.0_,4,0,[],-9
